# Fig. 2c - simulated time courses, amino acids only
# Dalle Pezze P et al. (2016) Nature Communications 7:13254. doi:10.1038/ncomms13254
# Digitized by digitize_dallepezze2016.py from a 600 dpi render of page 5.
# Both axes calibrated on their tick marks; the per-panel residuals printed by the script bound the accuracy of these values.
# value_au is the centre of the red ink in that pixel column; ink_lo_au and ink_hi_au are its extent, which is wide wherever the curve is steep and the centre is therefore not a value the figure claims.
# Values are the paper's arbitrary relative units and are not comparable between readouts.
readout,time_min,value_au,ink_lo_au,ink_hi_au
Akt_pS473,1.74611,0.425278,0.26789,0.582665
Akt_pS473,2.00793,0.425278,0.204935,0.64562
Akt_pS473,2.26974,0.425278,0.141981,0.708575
Akt_pS473,2.53155,0.456755,0.141981,0.77153
Akt_pS473,2.79337,0.51971,0.204935,0.834484
Akt_pS473,3.05518,0.551187,0.204935,0.897439
Akt_pS473,3.31699,0.614142,0.26789,0.960394
Akt_pS473,3.57881,0.677097,0.26789,1.0863
Akt_pS473,3.84062,0.77153,0.330845,1.21221
Akt_pS473,4.10243,0.865962,0.3938,1.33812
Akt_pS473,4.36425,1.0863,0.51971,1.6529
Akt_pS473,4.62606,1.33812,0.77153,1.90472
Akt_pS473,4.88787,1.43256,0.834484,2.03063
Akt_pS473,5.14969,1.58994,1.02335,2.15654
Akt_pS473,5.4115,2.21949,1.14926,3.28973
Akt_pS473,5.67332,2.53427,1.27517,3.79336
Akt_pS473,5.93513,2.81756,1.58994,4.04518
Akt_pS473,6.19694,3.03791,1.84176,4.23405
Akt_pS473,6.45876,3.22677,2.09358,4.35996
Akt_pS473,6.72057,3.54154,2.59722,4.48587
Akt_pS473,6.98238,3.63598,2.72313,4.54882
Akt_pS473,7.2442,3.06938,2.912,3.22677
Akt_pS473,7.50601,5.17837,3.73041,6.62633
Akt_pS473,7.76782,5.39871,3.85632,6.94111
Akt_pS473,8.02964,5.87088,4.54882,7.19293
Akt_pS473,8.29145,6.09122,4.67473,7.5077
Akt_pS473,8.55326,6.31156,4.8636,7.75952
Akt_pS473,8.81508,6.87815,5.74497,8.01134
