# Fig. 2d - simulated time courses, amino acids + wortmannin
# Dalle Pezze P et al. (2016) Nature Communications 7:13254. doi:10.1038/ncomms13254
# Digitized by digitize_dallepezze2016.py from a 600 dpi render of page 5.
# Both axes calibrated on their tick marks; the per-panel residuals printed by the script bound the accuracy of these values.
# value_au is the centre of the red ink in that pixel column; ink_lo_au and ink_hi_au are its extent, which is wide wherever the curve is steep and the centre is therefore not a value the figure claims.
# Values are the paper's arbitrary relative units and are not comparable between readouts.
readout,time_min,value_au,ink_lo_au,ink_hi_au
S6K_pT389,2.75631,0.372539,0.372539,0.372539
S6K_pT389,3.01345,0.327612,0.147905,0.50732
S6K_pT389,3.27059,0.372539,0.147905,0.597173
S6K_pT389,3.52773,0.529783,0.147905,0.911661
S6K_pT389,3.78486,0.529783,0.102978,0.956588
S6K_pT389,4.042,0.57471,0.102978,1.04644
S6K_pT389,4.29914,0.664563,0.102978,1.22615
S6K_pT389,4.55628,0.754417,0.147905,1.36093
S6K_pT389,4.81342,0.866734,0.192832,1.54064
S6K_pT389,5.07056,1.04644,0.462393,1.63049
S6K_pT389,5.32769,1.13629,0.552246,1.72034
S6K_pT389,5.58483,1.22615,0.6421,1.8102
S6K_pT389,5.84197,1.38339,0.911661,1.85512
S6K_pT389,6.09911,1.49571,1.04644,1.94498
S6K_pT389,6.35625,1.60803,1.18122,2.03483
S6K_pT389,6.61339,1.87759,1.67542,2.07976
S6K_pT389,6.87052,1.92251,1.72034,2.12468
S6K_pT389,7.12766,1.96744,1.76527,2.16961
S6K_pT389,7.3848,1.9899,1.76527,2.21454
S6K_pT389,7.64194,2.07976,1.8102,2.34932
S6K_pT389,7.89908,2.12468,1.85512,2.39425
S6K_pT389,8.15622,2.16961,1.90005,2.43917
S6K_pT389,8.41335,2.21454,1.94498,2.4841
S6K_pT389,8.67049,2.30439,2.07976,2.52903
S6K_pT389,8.92763,2.34932,2.12468,2.57395
S6K_pT389,9.18477,2.39425,2.16961,2.61888
S6K_pT389,9.44191,2.46164,2.25946,2.66381
S6K_pT389,9.69905,2.46164,2.25946,2.66381
S6K_pT389,9.95618,2.52903,2.30439,2.75366
S6K_pT389,10.2133,2.52903,2.30439,2.75366
S6K_pT389,10.4705,2.57395,2.34932,2.79859
S6K_pT389,10.7276,2.61888,2.39425,2.84351
S6K_pT389,10.9847,2.66381,2.43917,2.88844
S6K_pT389,11.2419,2.70873,2.52903,2.88844
S6K_pT389,11.499,2.75366,2.57395,2.93337
S6K_pT389,11.7562,2.79859,2.61888,2.97829
S6K_pT389,12.0133,2.86598,2.70873,3.02322
S6K_pT389,12.2704,2.88844,2.75366,3.02322
S6K_pT389,12.5276,2.9109,2.79859,3.02322
S6K_pT389,12.7847,2.93337,2.79859,3.06815
S6K_pT389,13.0418,2.97829,2.84351,3.11307
S6K_pT389,13.299,2.97829,2.84351,3.11307
