# Source: Samoilov et al. (2005) PNAS 102:2310-2315, Fig. 3A Inset -- free
# forward enzyme E+(t) from the same exact Gillespie trajectory as Fig. 3A.
# Method: same 600-dpi render/crop as the main panel. Inset trace ink = blue
# pixels (B > R + 15, B < 225) inside the inset frame (rows 123..290,
# columns 1146..1577). Column min/mean/max reported as lo/mid/hi; each column
# spans 0.025 time units. Axis calibration from tick-mark centers: rows
# 128.5/180.5/232.5/288.5 -> 15/10/5/0 molecules; columns 1158.5..1558.5 ->
# t = 0..10. Max tick residual 0.15 molecules.
# The inset trace is dense, so 'mid' (the ink centroid) is the best-determined
# statistic; 'lo'/'hi' are the plotted excursion envelope.
t,Eplus_lo,Eplus_mid,Eplus_hi
0.062500,0.8763,7.0302,13.1842
0.087500,0.8763,7.0302,13.1842
0.112500,0.8763,7.0302,13.1842
0.137500,0.8763,7.0302,13.1842
0.162500,0.8763,6.8173,12.4325
0.187500,0.8763,6.8173,12.4325
0.212500,0.8763,6.8173,12.4325
0.237500,0.8763,6.8173,12.4325
0.262500,0.8763,6.4376,11.3051
0.287500,0.8763,6.4376,11.3051
0.312500,0.8763,6.4376,11.3051
0.337500,0.8763,6.4376,11.3051
0.362500,0.8763,7.0302,13.1842
0.387500,0.8763,7.0302,13.1842
0.412500,0.8763,7.0302,13.1842
0.437500,0.8763,7.0302,13.1842
0.462500,0.8763,6.6544,12.4325
0.487500,0.8763,6.6544,12.4325
0.512500,0.8763,6.6544,12.4325
0.537500,0.8763,6.6544,12.4325
0.562500,2.0037,7.2181,12.4325
0.587500,2.0037,7.2181,12.4325
0.612500,2.0037,7.2181,12.4325
0.637500,2.0037,7.2181,12.4325
0.662500,0.8763,5.5270,10.1777
0.687500,0.8763,5.5270,10.1777
0.712500,0.8763,5.5270,10.1777
0.737500,0.8763,5.5270,10.1777
0.762500,0.8763,6.9245,13.1842
0.787500,0.8763,6.9245,13.1842
0.812500,0.8763,6.9245,13.1842
0.837500,0.8763,6.9245,13.1842
0.862500,2.7554,7.9698,13.1842
0.887500,2.7554,7.9698,13.1842
0.912500,2.7554,7.9698,13.1842
0.937500,2.7554,7.9698,13.1842
0.962500,0.8763,6.8423,12.8083
0.987500,0.8763,6.8423,12.8083
1.012500,0.8763,6.8423,12.8083
1.037500,0.8763,6.8423,12.8083
1.062500,0.8763,6.4665,12.0567
1.087500,0.8763,6.4665,12.0567
1.112500,0.8763,6.4665,12.0567
1.137500,0.8763,6.4665,12.0567
1.162500,0.8763,7.5940,14.3116
1.187500,0.8763,7.5940,14.3116
1.212500,0.8763,7.5940,14.3116
1.237500,0.8763,7.5940,14.3116
1.262500,2.0037,7.0302,12.0567
1.287500,2.0037,7.0302,12.0567
1.312500,2.0037,7.0302,12.0567
1.337500,2.0037,7.0302,12.0567
1.362500,0.1247,6.0907,12.0567
1.387500,0.1247,6.0907,12.0567
1.412500,0.1247,6.0907,12.0567
1.437500,0.1247,6.0907,12.0567
1.462500,0.8763,6.6285,12.0567
1.487500,0.8763,6.6285,12.0567
1.512500,0.8763,6.6285,12.0567
1.537500,0.8763,6.6285,12.0567
1.562500,0.1247,6.4548,12.4325
1.587500,0.1247,6.4548,12.4325
1.612500,0.1247,6.4548,12.4325
1.637500,0.1247,6.4548,12.4325
1.662500,0.1247,7.2181,14.3116
1.687500,0.1247,7.2181,14.3116
1.712500,0.1247,7.2181,14.3116
1.737500,0.1247,7.2181,14.3116
1.762500,2.0037,8.2716,15.0632
1.787500,2.0037,8.2716,15.0632
1.812500,2.0037,8.2716,15.0632
1.837500,2.0037,8.2716,15.0632
1.862500,2.0037,8.5335,15.0632
1.887500,2.0037,8.5335,15.0632
1.912500,2.0037,8.5335,15.0632
1.937500,2.0037,8.5335,15.0632
1.962500,0.8763,7.0302,13.1842
1.987500,0.8763,7.0302,13.1842
2.012500,0.8763,7.0302,13.1842
2.037500,0.8763,7.0302,13.1842
2.062500,0.8763,7.7389,14.3116
2.087500,0.8763,7.7389,14.3116
2.112500,0.8763,7.7389,14.3116
2.137500,0.8763,7.7389,14.3116
2.162500,2.0037,8.1577,14.3116
2.187500,2.0037,8.1577,14.3116
2.212500,2.0037,8.1577,14.3116
2.237500,2.0037,8.1577,14.3116
2.262500,1.6279,6.4665,11.3051
2.287500,1.6279,6.4665,11.3051
2.312500,1.6279,6.4665,11.3051
2.337500,1.6279,6.4665,11.3051
2.362500,2.0037,8.5335,15.0632
2.387500,2.0037,8.5335,15.0632
2.412500,2.0037,8.5335,15.0632
2.437500,2.0037,8.5335,15.0632
2.462500,0.8763,6.4665,12.0567
2.487500,0.8763,6.4665,12.0567
2.512500,0.8763,6.4665,12.0567
2.537500,0.8763,6.4665,12.0567
2.562500,0.8763,6.6544,12.4325
2.587500,0.8763,6.6544,12.4325
2.612500,0.8763,6.6544,12.4325
2.637500,0.8763,6.6544,12.4325
2.662500,2.0037,7.5940,13.1842
2.687500,2.0037,7.5940,13.1842
2.712500,2.0037,7.5940,13.1842
2.737500,2.0037,7.5940,13.1842
2.762500,0.8763,5.7727,12.0567
2.787500,0.8763,5.7727,12.0567
2.812500,0.8763,5.7727,12.0567
2.837500,0.8763,5.7727,12.0567
2.862500,0.8763,6.0907,11.3051
2.887500,0.8763,6.0907,11.3051
2.912500,0.8763,6.0907,11.3051
2.937500,0.8763,6.0907,11.3051
2.962500,0.8763,6.0907,11.3051
2.987500,0.8763,6.0907,11.3051
3.012500,0.8763,6.0907,11.3051
3.037500,0.8763,6.0907,11.3051
3.062500,-0.2511,5.9028,12.0567
3.087500,-0.2511,5.9028,12.0567
3.112500,-0.2511,5.9028,12.0567
3.137500,-0.2511,5.9028,12.0567
3.162500,0.1247,5.9306,12.8083
3.187500,0.1247,5.9306,12.8083
3.212500,0.1247,5.9306,12.8083
3.237500,0.1247,5.9306,12.8083
3.262500,0.1247,6.6544,13.1842
3.287500,0.1247,6.6544,13.1842
3.312500,0.1247,6.6544,13.1842
3.337500,0.1247,6.6544,13.1842
3.362500,2.0037,7.5940,13.1842
3.387500,2.0037,7.5940,13.1842
3.412500,2.0037,7.5940,13.1842
3.437500,2.0037,7.5940,13.1842
3.462500,2.0037,7.2037,12.0567
3.487500,2.0037,7.2037,12.0567
3.512500,2.0037,7.2037,12.0567
3.537500,2.0037,7.2037,12.0567
3.562500,2.0037,8.4119,15.4390
3.587500,2.0037,8.4119,15.4390
3.612500,2.0037,8.4119,15.4390
3.637500,2.0037,8.4119,15.4390
3.662500,2.0037,8.7214,15.4390
3.687500,2.0037,8.7214,15.4390
3.712500,2.0037,8.7214,15.4390
3.737500,2.0037,8.7214,15.4390
3.762500,2.0037,7.9698,13.9358
3.787500,2.0037,7.9698,13.9358
3.812500,2.0037,7.9698,13.9358
3.837500,2.0037,7.9698,13.9358
3.862500,2.0037,7.4449,13.9358
3.887500,2.0037,7.4449,13.9358
3.912500,2.0037,7.4449,13.9358
3.937500,2.0037,7.4449,13.9358
3.962500,0.8763,6.0907,11.3051
3.987500,0.8763,6.0907,11.3051
4.012500,0.8763,6.0907,11.3051
4.037500,0.8763,6.0907,11.3051
4.062500,2.0037,6.5292,11.3051
4.087500,2.0037,6.5292,11.3051
4.112500,2.0037,6.5292,11.3051
4.137500,2.0037,6.5292,11.3051
4.162500,0.1247,5.1512,10.1777
4.187500,0.1247,5.1512,10.1777
4.212500,0.1247,5.1512,10.1777
4.237500,0.1247,5.1512,10.1777
4.262500,0.1247,5.8510,11.3051
4.287500,0.1247,5.8510,11.3051
4.312500,0.1247,5.8510,11.3051
4.337500,0.1247,5.8510,11.3051
4.362500,0.1247,6.0907,12.0567
4.387500,0.1247,6.0907,12.0567
4.412500,0.1247,6.0907,12.0567
4.437500,0.1247,6.0907,12.0567
4.462500,0.8763,4.9633,9.0502
4.487500,0.8763,4.9633,9.0502
4.512500,0.8763,4.9633,9.0502
4.537500,0.8763,4.9633,9.0502
4.562500,-0.2511,4.9633,10.1777
4.587500,-0.2511,4.9633,10.1777
4.612500,-0.2511,4.9633,10.1777
4.637500,-0.2511,4.9633,10.1777
4.662500,2.0037,6.6544,11.3051
4.687500,2.0037,6.6544,11.3051
4.712500,2.0037,6.6544,11.3051
4.737500,2.0037,6.6544,11.3051
4.762500,0.8763,7.2845,13.9358
4.787500,0.8763,7.2845,13.9358
4.812500,0.8763,7.2845,13.9358
4.837500,0.8763,7.2845,13.9358
4.862500,2.0037,7.2181,12.4325
4.887500,2.0037,7.2181,12.4325
4.912500,2.0037,7.2181,12.4325
4.937500,2.0037,7.2181,12.4325
4.962500,2.7554,7.4060,12.0567
4.987500,2.7554,7.4060,12.0567
5.012500,2.7554,7.4060,12.0567
5.037500,2.7554,7.4060,12.0567
5.062500,2.0037,7.5940,13.1842
5.087500,2.0037,7.5940,13.1842
5.112500,2.0037,7.5940,13.1842
5.137500,2.0037,7.5940,13.1842
5.162500,2.0037,8.1577,14.3116
5.187500,2.0037,8.1577,14.3116
5.212500,2.0037,8.1577,14.3116
5.237500,2.0037,8.1577,14.3116
5.262500,0.8763,6.8423,12.8083
5.287500,0.8763,6.8423,12.8083
5.312500,0.8763,6.8423,12.8083
5.337500,0.8763,6.8423,12.8083
5.362500,2.0037,8.5335,15.0632
5.387500,2.0037,8.5335,15.0632
5.412500,2.0037,8.5335,15.0632
5.437500,2.0037,8.5335,15.0632
5.462500,0.8763,6.6544,12.4325
5.487500,0.8763,6.6544,12.4325
5.512500,0.8763,6.6544,12.4325
5.537500,0.8763,6.6544,12.4325
5.562500,2.0037,8.1577,14.3116
5.587500,2.0037,8.1577,14.3116
5.612500,2.0037,8.1577,14.3116
5.637500,2.0037,8.1577,14.3116
5.662500,2.0037,7.2181,12.4325
5.687500,2.0037,7.2181,12.4325
5.712500,2.0037,7.2181,12.4325
5.737500,2.0037,7.2181,12.4325
5.762500,2.0037,7.2181,12.4325
5.787500,2.0037,7.2181,12.4325
5.812500,2.0037,7.2181,12.4325
5.837500,2.0037,7.2181,12.4325
5.862500,2.0037,7.5940,13.1842
5.887500,2.0037,7.5940,13.1842
5.912500,2.0037,7.5940,13.1842
5.937500,2.0037,7.5940,13.1842
5.962500,2.7554,9.0972,15.4390
5.987500,2.7554,9.0972,15.4390
6.012500,2.7554,9.0972,15.4390
6.037500,2.7554,9.0972,15.4390
6.062500,0.8763,6.8423,12.8083
6.087500,0.8763,6.8423,12.8083
6.112500,0.8763,6.8423,12.8083
6.137500,0.8763,6.8423,12.8083
6.162500,0.8763,7.5940,14.3116
6.187500,0.8763,7.5940,14.3116
6.212500,0.8763,7.5940,14.3116
6.237500,0.8763,7.5940,14.3116
6.262500,0.8763,6.6908,12.8083
6.287500,0.8763,6.6908,12.8083
6.312500,0.8763,6.6908,12.8083
6.337500,0.8763,6.6908,12.8083
6.362500,0.8763,6.8423,12.8083
6.387500,0.8763,6.8423,12.8083
6.412500,0.8763,6.8423,12.8083
6.437500,0.8763,6.8423,12.8083
6.462500,2.0037,8.1577,14.3116
6.487500,2.0037,8.1577,14.3116
6.512500,2.0037,8.1577,14.3116
6.537500,2.0037,8.1577,14.3116
6.562500,0.8763,6.0907,11.3051
6.587500,0.8763,6.0907,11.3051
6.612500,0.8763,6.0907,11.3051
6.637500,0.8763,6.0907,11.3051
6.662500,0.8763,6.6544,12.4325
6.687500,0.8763,6.6544,12.4325
6.712500,0.8763,6.6544,12.4325
6.737500,0.8763,6.6544,12.4325
6.762500,0.8763,6.6544,12.4325
6.787500,0.8763,6.6544,12.4325
6.812500,0.8763,6.6544,12.4325
6.837500,0.8763,6.6544,12.4325
6.862500,0.8763,5.6836,10.1777
6.887500,0.8763,5.6836,10.1777
6.912500,0.8763,5.6836,10.1777
6.937500,0.8763,5.6836,10.1777
6.962500,0.8763,5.1154,9.0502
6.987500,0.8763,5.1154,9.0502
7.012500,0.8763,5.1154,9.0502
7.037500,0.8763,5.1154,9.0502
7.062500,0.8763,6.5667,12.8083
7.087500,0.8763,6.5667,12.8083
7.112500,0.8763,6.5667,12.8083
7.137500,0.8763,6.5667,12.8083
7.162500,0.8763,6.3175,12.8083
7.187500,0.8763,6.3175,12.8083
7.212500,0.8763,6.3175,12.8083
7.237500,0.8763,6.3175,12.8083
7.262500,2.0037,7.9698,13.9358
7.287500,2.0037,7.9698,13.9358
7.312500,2.0037,7.9698,13.9358
7.337500,2.0037,7.9698,13.9358
7.362500,2.0037,7.5940,13.1842
7.387500,2.0037,7.5940,13.1842
7.412500,2.0037,7.5940,13.1842
7.437500,2.0037,7.5940,13.1842
7.462500,2.0037,8.1577,14.3116
7.487500,2.0037,8.1577,14.3116
7.512500,2.0037,8.1577,14.3116
7.537500,2.0037,8.1577,14.3116
7.562500,0.8763,6.6544,12.4325
7.587500,0.8763,6.6544,12.4325
7.612500,0.8763,6.6544,12.4325
7.637500,0.8763,6.6544,12.4325
7.662500,0.8763,7.9698,15.0632
7.687500,0.8763,7.9698,15.0632
7.712500,0.8763,7.9698,15.0632
7.737500,0.8763,7.9698,15.0632
7.762500,-0.2511,6.6646,13.9358
7.787500,-0.2511,6.6646,13.9358
7.812500,-0.2511,6.6646,13.9358
7.837500,-0.2511,6.6646,13.9358
7.862500,2.0037,8.1455,13.9358
7.887500,2.0037,8.1455,13.9358
7.912500,2.0037,8.1455,13.9358
7.937500,2.0037,8.1455,13.9358
7.962500,2.0037,7.4060,12.8083
7.987500,2.0037,7.4060,12.8083
8.012500,2.0037,7.4060,12.8083
8.037500,2.0037,7.4060,12.8083
8.062500,1.2521,7.6174,13.9358
8.087500,1.2521,7.6174,13.9358
8.112500,1.2521,7.6174,13.9358
8.137500,1.2521,7.6174,13.9358
8.162500,0.8763,6.9676,13.9358
8.187500,0.8763,6.9676,13.9358
8.212500,0.8763,6.9676,13.9358
8.237500,0.8763,6.9676,13.9358
8.262500,0.8763,6.6544,12.4325
8.287500,0.8763,6.6544,12.4325
8.312500,0.8763,6.6544,12.4325
8.337500,0.8763,6.6544,12.4325
8.362500,0.8763,6.6285,12.0567
8.387500,0.8763,6.6285,12.0567
8.412500,0.8763,6.6285,12.0567
8.437500,0.8763,6.6285,12.0567
8.462500,0.8763,5.4330,12.0567
8.487500,0.8763,5.4330,12.0567
8.512500,0.8763,5.4330,12.0567
8.537500,0.8763,5.4330,12.0567
8.562500,0.8763,5.9028,10.9293
8.587500,0.8763,5.9028,10.9293
8.612500,0.8763,5.9028,10.9293
8.637500,0.8763,5.9028,10.9293
8.662500,2.0037,6.8423,11.6809
8.687500,2.0037,6.8423,11.6809
8.712500,2.0037,6.8423,11.6809
8.737500,2.0037,6.8423,11.6809
8.762500,0.8763,5.7293,10.9293
8.787500,0.8763,5.7293,10.9293
8.812500,0.8763,5.7293,10.9293
8.837500,0.8763,5.7293,10.9293
8.862500,0.8763,5.7293,10.9293
8.887500,0.8763,5.7293,10.9293
8.912500,0.8763,5.7293,10.9293
8.937500,0.8763,5.7293,10.9293
8.962500,1.2521,7.2181,13.1842
8.987500,1.2521,7.2181,13.1842
9.012500,1.2521,7.2181,13.1842
9.037500,1.2521,7.2181,13.1842
9.062500,2.0037,7.5940,13.1842
9.087500,2.0037,7.5940,13.1842
9.112500,2.0037,7.5940,13.1842
9.137500,2.0037,7.5940,13.1842
9.162500,2.0037,7.0302,12.0567
9.187500,2.0037,7.0302,12.0567
9.212500,2.0037,7.0302,12.0567
9.237500,2.0037,7.0302,12.0567
9.262500,2.0037,8.1577,14.3116
9.287500,2.0037,8.1577,14.3116
9.312500,2.0037,8.1577,14.3116
9.337500,2.0037,8.1577,14.3116
9.362500,2.0037,7.5940,13.1842
9.387500,2.0037,7.5940,13.1842
9.412500,2.0037,7.5940,13.1842
9.437500,2.0037,7.5940,13.1842
9.462500,2.7554,8.9093,15.0632
9.487500,2.7554,8.9093,15.0632
9.512500,2.7554,8.9093,15.0632
9.537500,2.7554,8.9093,15.0632
9.562500,2.0037,8.1577,14.3116
9.587500,2.0037,8.1577,14.3116
9.612500,2.0037,8.1577,14.3116
9.637500,2.0037,8.1577,14.3116
9.662500,2.0037,7.6441,13.9358
9.687500,2.0037,7.6441,13.9358
9.712500,2.0037,7.6441,13.9358
9.737500,2.0037,7.6441,13.9358
9.762500,2.7554,8.5335,14.3116
9.787500,2.7554,8.5335,14.3116
9.812500,2.7554,8.5335,14.3116
9.837500,2.7554,8.5335,14.3116
9.862500,0.8763,7.0302,13.1842
9.887500,0.8763,7.0302,13.1842
9.912500,0.8763,7.0302,13.1842
9.937500,0.8763,7.0302,13.1842
9.962500,2.7554,7.0302,11.3051
9.987500,2.7554,7.0302,11.3051
