# Source: Samoilov et al. (2005) PNAS 102:2310-2315, Fig. 3A -- one exact
# Gillespie trajectory of Expressions 7 and 8 (black = X, green = X*).
# Method: article PDF page 3 rendered at 600 dpi with pdftoppm and cropped to
# the Fig. 3A panel (-x 2820 -y 380 -W 1800 -H 1520). Trace ink = pixels with
# mean RGB < 165, split into the X band (1150 < value < 2050) and the X* band
# (-60 < value < 700); the two traces are separated by >1000 molecules so the
# split is unambiguous. Each image column spans 0.00746 time units; the column
# min/mean/max of the ink is reported as lo/mid/hi. 'mid' is the ink centroid
# and estimates the local time-average of the plotted trajectory; lo/hi give
# the local excursion envelope (line width inflates it by about +-8 molecules).
# Axis calibration from tick-mark centers (not the frame): rows
# 148.5/378.5/604.5/836.5/1061.5/1287.5 -> 2500/2000/1500/1000/500/0 molecules;
# columns 194.5..1534.5 -> t = 0..10. Max tick residual 6.7 molecules, 0.0000 time units.
# The t=0 initial-condition spike is excluded (t >= 0.05).
t,X_lo,X_mid,X_hi,Xstar_lo,Xstar_mid,Xstar_hi
0.055970,1744.757,1791.929,1839.101,88.254,135.426,182.598
0.063433,1744.757,1791.929,1839.101,88.254,135.426,182.598
0.070896,1744.757,1791.929,1839.101,88.254,135.426,182.598
0.078358,1762.309,1821.183,1874.206,61.925,104.709,147.493
0.085821,1762.309,1821.183,1874.206,61.925,104.709,147.493
0.093284,1762.309,1821.183,1874.206,61.925,104.709,147.493
0.100746,1762.309,1821.183,1874.206,61.925,104.709,147.493
0.108209,1823.743,1853.362,1882.982,61.925,95.933,129.940
0.115672,1823.743,1853.362,1882.982,61.925,95.933,129.940
0.123134,1823.743,1853.362,1882.982,61.925,95.933,129.940
0.130597,1823.743,1853.362,1882.982,61.925,95.933,129.940
0.138060,1797.414,1831.422,1865.429,70.701,109.097,147.493
0.145522,1797.414,1831.422,1865.429,70.701,109.097,147.493
0.152985,1797.414,1831.422,1865.429,70.701,109.097,147.493
0.160448,1797.414,1831.422,1865.429,70.701,109.097,147.493
0.167910,1753.533,1805.093,1856.653,79.477,131.037,182.598
0.175373,1753.533,1805.093,1856.653,79.477,131.037,182.598
0.182836,1753.533,1805.093,1856.653,79.477,131.037,182.598
0.190299,1753.533,1805.093,1856.653,79.477,131.037,182.598
0.197761,1744.757,1789.296,1847.877,88.254,139.814,191.374
0.205224,1744.757,1789.296,1847.877,88.254,139.814,191.374
0.212687,1744.757,1789.296,1847.877,88.254,139.814,191.374
0.220149,1744.757,1789.296,1847.877,88.254,139.814,191.374
0.227612,1753.533,1827.034,1900.534,53.149,122.261,191.374
0.235075,1753.533,1827.034,1900.534,53.149,122.261,191.374
0.242537,1753.533,1827.034,1900.534,53.149,122.261,191.374
0.250000,1753.533,1827.034,1900.534,53.149,122.261,191.374
0.257463,1779.862,1827.034,1874.206,61.925,109.097,156.269
