# Vilar et al. (2002) Fig. 2, panel a: deterministic free activator A
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 9-160 (151 px for 0-2000), axis columns 130-492.5 (0-400 h)
# Traced columns 135-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 9 marks on a 50 h grid, max deviation 0.62 px, ignored []
# y ticks: 5 marks on a 500 grid, max deviation 0.25 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 13.2. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 13.2 vertically, 1.10 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.517,966.9,397.4
6.621,423.8,39.74
7.724,,
8.828,,
9.931,,
11.03,,
12.14,,
13.24,,
14.34,,
15.45,,
16.55,,
17.66,,
18.76,,
19.86,,
20.97,,
22.07,,
23.17,,
24.28,,
25.38,,
26.48,569.5,13.25
27.59,1338,569.5
28.69,1377,1285
29.79,1298,980.1
30.9,927.2,516.6
32,543,119.2
33.1,26.49,13.25
34.21,,
35.31,,
36.41,,
37.52,,
38.62,,
39.72,,
40.83,,
41.93,,
43.03,,
44.14,,
45.24,,
46.34,,
47.45,,
48.55,,
49.66,,
50.76,,
51.86,225.2,13.25
52.97,1245,384.1
54.07,1377,1285
55.17,1325,1020
56.28,1007,688.7
57.38,622.5,119.2
58.48,66.23,13.25
59.59,,
60.69,,
61.79,,
62.9,,
64,,
65.1,,
66.21,,
67.31,,
68.41,,
69.52,,
70.62,,
71.72,,
72.83,,
73.93,,
75.03,,
76.14,,
77.24,251.7,13.25
78.34,1152,397.4
79.45,1377,1232
80.55,1338,1139
81.66,1086,781.5
82.76,715.2,225.2
83.86,145.7,13.25
84.97,,
86.07,,
87.17,,
88.28,,
89.38,,
90.48,,
91.59,,
92.69,,
93.79,,
94.9,,
96,,
97.1,,
98.21,,
99.31,,
100.4,,
101.5,,
102.6,92.72,13.25
103.7,1007,158.9
104.8,1377,1139
105.9,1351,1192
107,1139,821.2
108.1,688.7,317.9
109.2,225.2,13.25
110.3,,
111.4,,
112.6,,
113.7,,
114.8,,
115.9,,
117,,
118.1,,
119.2,,
120.3,,
121.4,,
122.5,,
123.6,,
124.7,,
125.8,,
126.9,,
128,39.74,13.25
129.1,847.7,79.47
130.2,1364,993.4
131.3,1364,1258
132.4,1192,834.4
133.5,781.5,423.8
134.6,331.1,13.25
135.7,,
136.8,,
137.9,,
139,,
140.1,,
141.2,,
