# Vilar et al. (2002) Fig. 2, panel b: deterministic free repressor R
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 188-339 (151 px for 0-2000), axis columns 130-492.5 (0-400 h)
# Traced columns 135-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 9 marks on a 50 h grid, max deviation 0.62 px, ignored []
# y ticks: 5 marks on a 500 grid, max deviation 0.50 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 13.2. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 13.2 vertically, 1.10 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.517,,
6.621,609.3,13.25
7.724,1603,476.8
8.828,1722,1616
9.931,1709,1563
11.03,1536,1364
12.14,1325,1086
13.24,1046,927.2
14.34,887.4,768.2
15.45,728.5,609.3
16.55,569.5,503.3
17.66,463.6,397.4
18.76,370.9,317.9
19.86,304.6,251.7
20.97,225.2,198.7
22.07,185.4,158.9
23.17,132.5,119.2
24.28,106,92.72
25.38,79.47,52.98
26.48,26.49,13.25
27.59,,
28.69,,
29.79,,
30.9,,
32,106,13.25
33.1,1377,357.6
34.21,1695,1470
35.31,1709,1603
36.41,1563,1417
37.52,1377,1152
38.62,1113,966.9
39.72,940.4,768.2
40.83,741.7,635.8
41.93,609.3,516.6
43.03,476.8,410.6
44.14,384.1,331.1
45.24,317.9,264.9
46.34,238.4,211.9
47.45,198.7,158.9
48.55,145.7,132.5
49.66,119.2,92.72
50.76,79.47,79.47
51.86,39.74,13.25
52.97,,
54.07,,
55.17,,
56.28,,
57.38,106,13.25
58.48,1179,251.7
59.59,1682,1311
60.69,1709,1642
61.79,1616,1457
62.9,1417,1192
64,1152,1007
65.1,966.9,794.7
66.21,768.2,662.3
67.31,635.8,516.6
68.41,490.1,423.8
69.52,410.6,344.4
70.62,317.9,264.9
71.72,251.7,225.2
72.83,198.7,172.2
73.93,145.7,132.5
75.03,119.2,92.72
76.14,79.47,66.23
77.24,52.98,13.25
78.34,,
79.45,,
80.55,,
81.66,,
82.76,,
83.86,1007,92.72
84.97,1682,1166
86.07,1709,1669
87.17,1642,1444
88.28,1404,1245
89.38,1192,1046
90.48,980.1,834.4
91.59,794.7,688.7
92.69,662.3,543
93.79,516.6,450.3
94.9,423.8,344.4
96,331.1,291.4
97.1,264.9,225.2
98.21,211.9,185.4
99.31,158.9,145.7
100.4,132.5,106
101.5,92.72,66.23
102.6,52.98,13.25
103.7,,
104.8,,
105.9,,
107,,
108.1,,
109.2,755,13.25
110.3,1642,1007
111.4,1709,1669
112.6,1669,1497
113.7,1444,1285
114.8,1245,1033
115.9,1007,860.9
117,834.4,702
118.1,662.3,556.3
119.2,543,463.6
120.3,437.1,357.6
121.4,344.4,304.6
122.5,278.1,238.4
123.6,211.9,185.4
124.7,172.2,145.7
125.8,132.5,106
126.9,92.72,79.47
128,66.23,26.49
129.1,,
130.2,,
131.3,,
132.4,,
133.5,,
134.6,755,13.25
135.7,1589,980.1
136.8,1709,1642
137.9,1682,1536
139,1497,1325
140.1,1298,1073
141.2,1046,900.7
142.3,860.9,715.2
143.4,688.7,596
144.6,569.5,476.8
145.7,437.1,384.1
146.8,357.6,304.6
147.9,291.4,238.4
149,225.2,198.7
150.1,185.4,158.9
151.2,132.5,119.2
152.3,106,79.47
153.4,66.23,39.74
154.5,13.25,13.25
155.6,,
156.7,,
157.8,,
158.9,,
160,556.3,13.25
161.1,1497,715.2
162.2,1709,1563
163.3,1682,1576
164.4,1536,1364
165.5,1298,1126
166.6,1073,940.4
167.7,900.7,741.7
168.8,715.2,609.3
169.9,582.8,490.1
171,463.6,397.4
172.1,370.9,317.9
173.2,291.4,251.7
174.3,238.4,198.7
175.4,185.4,158.9
176.6,145.7,132.5
177.7,106,92.72
178.8,66.23,52.98
179.9,26.49,13.25
181,,
182.1,,
183.2,,
184.3,,
185.4,264.9,13.25
186.5,1364,450.3
187.6,1695,1470
188.7,1709,1616
189.8,1576,1364
190.9,1325,1166
192,1126,953.6
193.1,887.4,768.2
194.2,741.7,635.8
195.3,609.3,503.3
196.4,476.8,410.6
197.5,384.1,317.9
198.6,304.6,264.9
199.7,251.7,211.9
200.8,185.4,158.9
201.9,145.7,132.5
203,106,92.72
204.1,79.47,66.23
205.2,52.98,13.25
206.3,,
207.4,,
208.6,,
209.7,,
210.8,,
211.9,1219,198.7
213,1695,1430
214.1,1709,1642
215.2,1616,1404
216.3,1364,1205
217.4,1166,966.9
218.5,927.2,807.9
219.6,768.2,635.8
220.7,609.3,529.8
221.8,503.3,437.1
222.9,397.4,344.4
224,317.9,278.1
225.1,251.7,211.9
226.2,198.7,172.2
227.3,158.9,132.5
228.4,119.2,106
229.5,79.47,66.23
230.6,52.98,13.25
231.7,,
232.8,,
233.9,,
235,,
236.1,,
237.2,1245,26.49
238.3,1682,1377
239.4,1709,1656
240.6,1603,1457
241.7,1404,1245
242.8,1205,1007
243.9,993.4,834.4
245,821.2,662.3
246.1,635.8,543
247.2,529.8,437.1
248.3,410.6,357.6
249.4,331.1,291.4
250.5,264.9,225.2
251.6,211.9,185.4
252.7,172.2,145.7
