# Vilar et al. (2002) Fig. 2, panel c: stochastic free activator A
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 368-518 (150 px for 0-2000), axis columns 130-492.5 (0-400 h)
# Traced columns 135-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 9 marks on a 50 h grid, max deviation 0.62 px, ignored []
# y ticks: 5 marks on a 500 grid, max deviation 0.50 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 13.3. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 13.3 vertically, 1.10 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.517,826.7,226.7
6.621,293.3,13.33
7.724,,
8.828,,
9.931,,
11.03,,
12.14,,
13.24,,
14.34,,
15.45,,
16.55,,
17.66,,
18.76,,
19.86,,
20.97,,
22.07,253.3,13.33
23.17,1040,266.7
24.28,1160,1133
25.38,1120,1040
26.48,986.7,800
27.59,733.3,200
28.69,93.33,13.33
29.79,,
30.9,,
32,,
33.1,,
34.21,,
35.31,,
36.41,,
37.52,,
38.62,,
39.72,,
40.83,706.7,26.67
41.93,1213,813.3
43.03,1200,1133
44.14,1133,880
45.24,826.7,173.3
46.34,93.33,13.33
47.45,,
48.55,,
49.66,,
50.76,,
51.86,,
52.97,,
54.07,,
55.17,,
56.28,,
57.38,,
58.48,,
59.59,,
60.69,,
61.79,,
62.9,,
64,,
65.1,360,13.33
66.21,1200,520
67.31,1520,1227
68.41,1387,1160
69.52,1133,773.3
70.62,653.3,240
71.72,160,13.33
72.83,,
73.93,,
75.03,,
76.14,,
77.24,,
78.34,,
79.45,,
80.55,,
81.66,,
82.76,,
83.86,,
84.97,,
86.07,,
87.17,,
88.28,,
89.38,,
90.48,,
91.59,400,13.33
92.69,1400,600
93.79,1507,1307
94.9,1240,973.3
96,946.7,653.3
97.1,560,13.33
98.21,,
99.31,,
100.4,,
101.5,,
102.6,,
103.7,,
104.8,,
105.9,,
107,,
108.1,,
109.2,,
110.3,,
111.4,,
112.6,,
113.7,,
114.8,,
115.9,53.33,13.33
117,1253,146.7
118.1,1613,1413
119.2,1613,1480
120.3,1453,1027
121.4,946.7,453.3
122.5,400,40
123.6,,
124.7,,
125.8,,
126.9,,
128,,
129.1,,
130.2,,
131.3,,
132.4,,
133.5,,
134.6,,
135.7,,
136.8,,
137.9,,
139,,
140.1,,
141.2,,
142.3,1013,53.33
143.4,1360,1120
144.6,1467,1373
145.7,1400,1000
146.8,880,480
147.9,373.3,13.33
149,,
150.1,,
151.2,,
152.3,,
153.4,,
154.5,,
155.6,,
156.7,,
157.8,,
158.9,,
160,,
161.1,,
162.2,,
163.3,,
164.4,,
165.5,13.33,13.33
166.6,906.7,26.67
167.7,1573,1107
168.8,1560,1413
169.9,1307,813.3
171,773.3,533.3
172.1,453.3,13.33
173.2,,
174.3,,
175.4,,
176.6,,
177.7,,
178.8,,
179.9,,
181,,
182.1,,
183.2,,
