# Vilar et al. (2002) Fig. 2, panel d: stochastic free repressor R
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 547-698 (151 px for 0-2000), axis columns 130-492.5 (0-400 h)
# Traced columns 135-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 9 marks on a 50 h grid, max deviation 0.62 px, ignored []
# y ticks: 6 marks on a 250 grid, max deviation 0.50 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 13.2. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 13.2 vertically, 1.10 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.517,,
6.621,900.7,26.49
7.724,1695,755
8.828,1722,1629
9.931,1616,1457
11.03,1417,1179
12.14,1139,1007
13.24,966.9,807.9
14.34,768.2,649
15.45,609.3,529.8
16.55,503.3,437.1
17.66,410.6,291.4
18.76,251.7,225.2
19.86,291.4,238.4
20.97,238.4,225.2
22.07,211.9,92.72
23.17,,
24.28,,
25.38,,
26.48,,
27.59,26.49,13.25
28.69,1046,39.74
29.79,1669,1205
30.9,1695,1642
32,1629,1430
33.1,1391,1245
34.21,1245,1099
35.31,1046,834.4
36.41,781.5,662.3
37.52,649,569.5
38.62,556.3,423.8
39.72,384.1,251.7
40.83,158.9,13.25
41.93,,
43.03,,
44.14,,
45.24,,
46.34,847.7,106
47.45,1497,993.4
48.55,1589,1523
49.66,1563,1391
50.76,1351,1232
51.86,1205,1046
52.97,1007,847.7
54.07,807.9,662.3
55.17,635.8,516.6
56.28,490.1,450.3
57.38,423.8,304.6
58.48,291.4,278.1
59.59,251.7,238.4
60.69,238.4,185.4
61.79,238.4,198.7
62.9,172.2,119.2
64,92.72,52.98
65.1,106,26.49
66.21,,
67.31,,
68.41,,
69.52,,
70.62,,
71.72,1126,13.25
72.83,1775,1311
73.93,1748,1576
75.03,1563,1444
76.14,1404,1205
77.24,1152,1007
78.34,980.1,874.2
79.45,834.4,675.5
80.55,622.5,450.3
81.66,423.8,410.6
82.76,384.1,370.9
83.86,370.9,304.6
84.97,291.4,278.1
86.07,251.7,172.2
87.17,145.7,106
88.28,211.9,119.2
89.38,211.9,106
90.48,132.5,106
91.59,106,13.25
92.69,,
93.79,,
94.9,,
96,,
97.1,556.3,13.25
98.21,1603,834.4
99.31,1775,1669
100.4,1775,1642
101.5,1616,1444
102.6,1404,1205
103.7,1152,1007
104.8,966.9,807.9
105.9,781.5,688.7
107,649,569.5
108.1,543,384.1
109.2,370.9,357.6
110.3,344.4,331.1
111.4,304.6,278.1
112.6,238.4,158.9
113.7,158.9,119.2
114.8,92.72,79.47
115.9,79.47,52.98
117,39.74,13.25
118.1,,
119.2,,
120.3,,
121.4,,
122.5,370.9,13.25
123.6,1444,582.8
124.7,1709,1550
125.8,1709,1603
126.9,1576,1483
128,1404,1219
129.1,1192,1046
130.2,993.4,807.9
131.3,781.5,715.2
132.4,688.7,596
133.5,556.3,490.1
134.6,450.3,317.9
135.7,291.4,264.9
136.8,238.4,172.2
137.9,198.7,158.9
139,211.9,185.4
140.1,185.4,79.47
141.2,79.47,52.98
142.3,39.74,13.25
143.4,,
144.6,,
145.7,,
146.8,13.25,13.25
147.9,688.7,13.25
149,1364,887.4
150.1,1576,1444
151.2,1523,1470
152.3,1430,1272
153.4,1232,1060
154.5,1020,807.9
155.6,741.7,635.8
156.7,609.3,556.3
157.8,529.8,463.6
158.9,437.1,344.4
160,344.4,317.9
161.1,291.4,238.4
162.2,225.2,225.2
163.3,238.4,238.4
164.4,211.9,185.4
165.5,198.7,39.74
166.6,13.25,13.25
167.7,,
168.8,,
169.9,,
171,,
172.1,688.7,13.25
173.2,1642,900.7
174.3,1868,1709
175.4,1854,1735
176.6,1695,1470
177.7,1417,1152
178.8,1113,966.9
179.9,940.4,834.4
181,807.9,741.7
182.1,715.2,622.5
183.2,596,503.3
184.3,476.8,370.9
185.4,344.4,331.1
186.5,304.6,278.1
187.6,238.4,158.9
188.7,185.4,172.2
189.8,185.4,145.7
190.9,106,13.25
192,,
193.1,,
194.2,,
195.3,26.49,13.25
196.4,1007,79.47
197.5,1563,1139
198.6,1603,1576
199.7,1576,1417
200.8,1377,1192
201.9,1152,980.1
203,887.4,781.5
204.1,755,635.8
205.2,622.5,516.6
206.3,490.1,397.4
207.4,384.1,304.6
208.6,304.6,264.9
209.7,251.7,185.4
210.8,185.4,185.4
211.9,225.2,198.7
213,225.2,79.47
214.1,132.5,92.72
215.2,119.2,106
216.3,132.5,132.5
217.4,185.4,158.9
218.5,158.9,79.47
219.6,26.49,13.25
220.7,,
221.8,,
222.9,,
224,,
225.1,503.3,13.25
226.2,1536,635.8
227.3,1656,1563
228.4,1576,1483
229.5,1444,1258
230.6,1232,1073
231.7,1033,874.2
232.8,821.2,675.5
233.9,635.8,556.3
235,543,490.1
236.1,463.6,410.6
237.2,384.1,304.6
238.3,278.1,238.4
239.4,211.9,158.9
240.6,132.5,92.72
241.7,79.47,13.25
242.8,,
243.9,,
245,,
246.1,,
247.2,450.3,13.25
248.3,1483,596
249.4,1682,1536
250.5,1656,1629
251.6,1656,1523
252.7,1470,1232
253.8,1205,980.1
254.9,940.4,781.5
256,741.7,649
257.1,622.5,503.3
258.2,476.8,423.8
259.3,384.1,331.1
260.4,278.1,225.2
261.5,225.2,198.7
262.6,172.2,66.23
263.7,106,13.25
264.8,,
265.9,,
267,,
268.1,,
269.2,26.49,13.25
270.3,1298,106
271.4,1629,1245
272.6,1629,1523
273.7,1510,1364
274.8,1325,1099
275.9,1060,940.4
277,927.2,768.2
278.1,741.7,649
279.2,635.8,503.3
280.3,437.1,370.9
281.4,357.6,331.1
282.5,331.1,304.6
283.6,304.6,264.9
284.7,264.9,198.7
285.8,172.2,145.7
286.9,145.7,132.5
288,145.7,92.72
289.1,132.5,79.47
290.2,92.72,39.74
291.3,92.72,52.98
292.4,132.5,106
293.5,158.9,106
294.6,92.72,66.23
295.7,26.49,26.49
296.8,,
297.9,,
299,,
300.1,,
301.2,,
302.3,450.3,13.25
303.4,1497,463.6
304.6,1828,1576
305.7,1868,1748
306.8,1682,1417
307.9,1404,1179
309,1126,1020
310.1,993.4,821.2
311.2,794.7,728.5
312.3,702,622.5
313.4,582.8,476.8
314.5,463.6,397.4
315.6,384.1,370.9
316.7,344.4,278.1
317.8,264.9,264.9
318.9,251.7,225.2
320,198.7,106
321.1,52.98,26.49
322.2,,
323.3,,
324.4,,
325.5,,
326.6,225.2,13.25
327.7,1576,463.6
328.8,1788,1669
329.9,1775,1603
331,1589,1417
332.1,1391,1113
333.2,1060,900.7
334.3,874.2,755
335.4,728.5,609.3
336.6,569.5,516.6
337.7,516.6,437.1
338.8,423.8,384.1
339.9,370.9,278.1
341,251.7,172.2
342.1,198.7,145.7
343.2,172.2,145.7
344.3,158.9,145.7
345.4,172.2,106
346.5,132.5,106
347.6,132.5,92.72
348.7,132.5,79.47
349.8,132.5,119.2
350.9,106,79.47
352,,
353.1,,
354.2,,
355.3,,
356.4,,
357.5,251.7,13.25
358.6,1536,423.8
359.7,1934,1642
360.8,1934,1841
361.9,1801,1629
363,1576,1364
364.1,1298,1113
365.2,1073,847.7
366.3,821.2,741.7
367.4,728.5,649
368.6,609.3,503.3
369.7,476.8,437.1
370.8,410.6,370.9
371.9,357.6,317.9
373,304.6,185.4
374.1,225.2,185.4
375.2,198.7,13.25
376.3,,
377.4,,
378.5,,
379.6,,
380.7,13.25,13.25
381.8,847.7,13.25
382.9,1669,1033
384,1669,1642
385.1,1629,1444
386.2,1404,1258
387.3,1232,1033
388.4,993.4,874.2
389.5,834.4,702
390.6,662.3,543
391.7,516.6,437.1
392.8,410.6,344.4
393.9,317.9,278.1
