# Vilar et al. (2002) Fig. 5, panel a: deterministic free repressor R at delta_R = 0.05 /h
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 10-176 (166 px for 0-3000), axis columns 91-490.5 (0-400 h)
# Traced columns 96-485: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 9 marks on a 50 h grid, max deviation 0.50 px, ignored []
# y ticks: 4 marks on a 1000 grid, max deviation 0.33 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 18.1. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 18.1 vertically, 1.00 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.006,2006,994
6.008,,
7.009,,
8.01,1392,144.6
9.011,1988,1536
10.01,2241,2042
11.01,2277,2259
12.02,2277,2259
13.02,2223,2169
14.02,2133,2096
15.02,2060,1988
16.02,1970,1916
17.02,1880,1825
18.02,1789,1735
19.02,1699,1645
20.03,1627,1572
21.03,1536,1500
22.03,1464,1428
23.03,1392,1355
24.03,1319,1283
25.03,1265,1229
26.03,1193,1175
27.03,1139,1120
28.04,1084,1048
29.04,1030,1012
30.04,975.9,957.8
31.04,939.8,921.7
32.04,885.5,867.5
33.04,849.4,831.3
34.04,813.3,777.1
35.04,759,741
36.05,722.9,704.8
37.05,686.7,686.7
38.05,650.6,650.6
39.05,632.5,614.5
40.05,596.4,578.3
41.05,560.2,560.2
42.05,542.2,524.1
43.05,506,506
44.06,488,488
45.06,469.9,451.8
46.06,433.7,433.7
47.06,415.7,415.7
48.06,397.6,397.6
49.06,379.5,379.5
50.06,361.4,361.4
51.06,343.4,343.4
52.07,325.3,325.3
53.07,307.2,307.2
54.07,,
55.07,289.2,289.2
56.07,271.1,271.1
57.07,271.1,271.1
58.07,253,253
59.07,234.9,234.9
60.08,234.9,234.9
61.08,216.9,216.9
62.08,216.9,216.9
63.08,198.8,198.8
64.08,198.8,198.8
65.08,180.7,180.7
66.08,180.7,180.7
67.08,,
68.09,162.7,162.7
69.09,162.7,162.7
70.09,162.7,162.7
71.09,144.6,144.6
72.09,144.6,144.6
73.09,144.6,144.6
74.09,144.6,144.6
75.09,,
76.1,126.5,126.5
77.1,126.5,126.5
78.1,126.5,126.5
79.1,126.5,126.5
80.1,126.5,126.5
81.1,126.5,126.5
82.1,126.5,126.5
83.1,126.5,126.5
84.11,126.5,126.5
85.11,,
86.11,,
87.11,,
88.11,,
89.11,,
90.11,,
91.11,,
92.12,,
93.12,,
94.12,,
95.12,,
96.12,,
97.12,126.5,126.5
98.12,126.5,126.5
99.12,126.5,126.5
100.1,126.5,126.5
101.1,126.5,126.5
102.1,126.5,126.5
103.1,126.5,126.5
104.1,126.5,126.5
105.1,126.5,126.5
106.1,126.5,126.5
107.1,126.5,126.5
108.1,126.5,126.5
109.1,126.5,126.5
110.1,126.5,126.5
111.1,126.5,126.5
112.1,126.5,126.5
113.1,126.5,126.5
114.1,126.5,126.5
115.1,126.5,126.5
116.1,126.5,126.5
117.1,126.5,126.5
118.1,126.5,126.5
119.1,126.5,126.5
120.2,126.5,126.5
121.2,126.5,126.5
122.2,126.5,126.5
123.2,126.5,126.5
124.2,126.5,126.5
125.2,126.5,126.5
126.2,126.5,126.5
127.2,126.5,126.5
128.2,126.5,126.5
129.2,126.5,126.5
130.2,126.5,126.5
131.2,126.5,126.5
132.2,126.5,126.5
133.2,126.5,126.5
134.2,126.5,126.5
135.2,126.5,126.5
136.2,126.5,126.5
137.2,126.5,126.5
138.2,126.5,126.5
139.2,126.5,126.5
140.2,126.5,126.5
141.2,126.5,126.5
142.2,126.5,126.5
143.2,126.5,126.5
144.2,126.5,126.5
145.2,126.5,126.5
146.2,126.5,126.5
147.2,126.5,126.5
148.2,126.5,126.5
149.2,126.5,126.5
150.2,126.5,126.5
151.2,126.5,126.5
152.2,126.5,126.5
153.2,126.5,126.5
154.2,126.5,126.5
155.2,126.5,126.5
156.2,126.5,126.5
157.2,126.5,126.5
158.2,126.5,126.5
159.2,126.5,126.5
160.2,126.5,126.5
161.2,126.5,126.5
162.2,126.5,126.5
163.2,126.5,126.5
164.2,126.5,126.5
165.2,126.5,126.5
166.2,126.5,126.5
167.2,126.5,126.5
168.2,126.5,126.5
169.2,126.5,126.5
170.2,126.5,126.5
171.2,126.5,126.5
172.2,126.5,126.5
173.2,126.5,126.5
174.2,126.5,126.5
175.2,126.5,126.5
176.2,126.5,126.5
177.2,126.5,126.5
178.2,126.5,126.5
179.2,126.5,126.5
180.2,126.5,126.5
181.2,126.5,126.5
182.2,126.5,126.5
183.2,126.5,126.5
184.2,126.5,126.5
185.2,126.5,126.5
186.2,126.5,126.5
187.2,126.5,126.5
188.2,126.5,126.5
189.2,126.5,126.5
190.2,126.5,126.5
191.2,126.5,126.5
192.2,126.5,126.5
193.2,126.5,126.5
194.2,126.5,126.5
195.2,126.5,126.5
196.2,126.5,126.5
197.2,126.5,126.5
198.2,126.5,126.5
199.2,126.5,126.5
200.3,126.5,126.5
201.3,126.5,126.5
202.3,126.5,126.5
203.3,126.5,126.5
204.3,126.5,126.5
205.3,126.5,126.5
206.3,126.5,126.5
207.3,126.5,126.5
208.3,126.5,126.5
209.3,126.5,126.5
210.3,126.5,126.5
211.3,126.5,126.5
212.3,126.5,126.5
213.3,126.5,126.5
214.3,126.5,126.5
215.3,126.5,126.5
216.3,126.5,126.5
217.3,126.5,126.5
218.3,126.5,126.5
219.3,126.5,126.5
220.3,126.5,126.5
221.3,126.5,126.5
222.3,126.5,126.5
223.3,126.5,126.5
224.3,126.5,126.5
225.3,126.5,126.5
226.3,126.5,126.5
227.3,126.5,126.5
228.3,126.5,126.5
229.3,126.5,126.5
230.3,126.5,126.5
231.3,126.5,126.5
232.3,126.5,126.5
233.3,126.5,126.5
234.3,126.5,126.5
235.3,126.5,126.5
236.3,126.5,126.5
237.3,126.5,126.5
238.3,126.5,126.5
239.3,126.5,126.5
240.3,126.5,126.5
241.3,126.5,126.5
242.3,126.5,126.5
243.3,126.5,126.5
244.3,126.5,126.5
245.3,126.5,126.5
246.3,126.5,126.5
247.3,126.5,126.5
248.3,126.5,126.5
249.3,126.5,126.5
250.3,126.5,126.5
251.3,126.5,126.5
252.3,126.5,126.5
253.3,126.5,126.5
254.3,126.5,126.5
255.3,126.5,126.5
256.3,126.5,126.5
257.3,126.5,126.5
258.3,126.5,126.5
259.3,126.5,126.5
260.3,126.5,126.5
261.3,126.5,126.5
262.3,126.5,126.5
263.3,126.5,126.5
264.3,126.5,126.5
265.3,126.5,126.5
266.3,126.5,126.5
267.3,126.5,126.5
268.3,126.5,126.5
269.3,126.5,126.5
270.3,126.5,126.5
271.3,126.5,126.5
272.3,126.5,126.5
273.3,126.5,126.5
274.3,126.5,126.5
275.3,126.5,126.5
276.3,126.5,126.5
277.3,126.5,126.5
278.3,126.5,126.5
279.3,126.5,126.5
280.4,126.5,126.5
281.4,126.5,126.5
282.4,126.5,126.5
283.4,126.5,126.5
284.4,126.5,126.5
285.4,126.5,126.5
286.4,126.5,126.5
287.4,126.5,126.5
288.4,126.5,126.5
289.4,126.5,126.5
290.4,126.5,126.5
291.4,126.5,126.5
292.4,126.5,126.5
293.4,126.5,126.5
294.4,126.5,126.5
295.4,126.5,126.5
296.4,126.5,126.5
297.4,126.5,126.5
298.4,126.5,126.5
299.4,126.5,126.5
300.4,126.5,126.5
301.4,126.5,126.5
302.4,126.5,126.5
303.4,126.5,126.5
304.4,126.5,126.5
305.4,126.5,126.5
306.4,126.5,126.5
307.4,126.5,126.5
308.4,126.5,126.5
309.4,126.5,126.5
310.4,126.5,126.5
311.4,126.5,126.5
312.4,126.5,126.5
313.4,126.5,126.5
314.4,126.5,126.5
315.4,126.5,126.5
316.4,126.5,126.5
317.4,126.5,126.5
318.4,126.5,126.5
319.4,126.5,126.5
320.4,126.5,126.5
321.4,126.5,126.5
322.4,126.5,126.5
323.4,126.5,126.5
324.4,126.5,126.5
325.4,126.5,126.5
326.4,126.5,126.5
327.4,126.5,126.5
328.4,126.5,126.5
329.4,126.5,126.5
330.4,126.5,126.5
331.4,126.5,126.5
332.4,126.5,126.5
333.4,126.5,126.5
334.4,126.5,126.5
335.4,126.5,126.5
336.4,126.5,126.5
337.4,126.5,126.5
338.4,126.5,126.5
339.4,126.5,126.5
340.4,126.5,126.5
341.4,126.5,126.5
342.4,126.5,126.5
343.4,126.5,126.5
344.4,126.5,126.5
345.4,126.5,126.5
346.4,126.5,126.5
347.4,126.5,126.5
348.4,126.5,126.5
349.4,126.5,126.5
350.4,126.5,126.5
351.4,126.5,126.5
352.4,126.5,126.5
353.4,126.5,126.5
354.4,126.5,126.5
355.4,126.5,126.5
356.4,126.5,126.5
357.4,126.5,126.5
358.4,126.5,126.5
359.4,126.5,126.5
360.5,126.5,126.5
361.5,126.5,126.5
362.5,126.5,126.5
363.5,126.5,126.5
364.5,126.5,126.5
365.5,126.5,126.5
366.5,126.5,126.5
367.5,126.5,126.5
368.5,126.5,126.5
369.5,126.5,126.5
370.5,126.5,126.5
371.5,126.5,126.5
372.5,126.5,126.5
373.5,126.5,126.5
374.5,126.5,126.5
375.5,126.5,126.5
376.5,126.5,126.5
377.5,126.5,126.5
378.5,126.5,126.5
379.5,126.5,126.5
380.5,126.5,126.5
381.5,126.5,126.5
382.5,126.5,126.5
383.5,126.5,126.5
384.5,126.5,126.5
385.5,126.5,126.5
386.5,126.5,126.5
387.5,126.5,126.5
388.5,126.5,126.5
389.5,126.5,126.5
390.5,126.5,126.5
391.5,126.5,126.5
392.5,126.5,126.5
393.5,126.5,126.5
394.5,126.5,126.5
