# Vilar et al. (2002) Fig. 5, panel b: stochastic free repressor R at delta_R = 0.05 /h
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 207-374 (167 px for 0-3000), axis columns 91-490.5 (0-400 h)
# Traced columns 96-485: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 9 marks on a 50 h grid, max deviation 0.50 px, ignored []
# y ticks: 4 marks on a 1000 grid, max deviation 0.50 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 18. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 18 vertically, 1.00 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.006,1994,1006
6.008,17.96,17.96
7.009,898.2,17.96
8.01,1976,1132
9.011,2210,2012
10.01,2263,2210
11.01,2192,2156
12.02,2138,2102
13.02,2048,1976
14.02,1940,1886
15.02,1850,1814
16.02,1778,1725
17.02,1707,1653
18.02,1617,1563
19.02,1527,1473
20.03,1455,1383
21.03,1347,1293
22.03,1293,1275
23.03,1257,1240
24.03,1222,1132
25.03,1114,1096
26.03,1060,1006
27.03,970.1,970.1
28.04,952.1,934.1
29.04,916.2,880.2
30.04,862.3,844.3
31.04,862.3,862.3
32.04,880.2,826.3
33.04,808.4,754.5
34.04,772.5,736.5
35.04,736.5,700.6
36.05,700.6,682.6
37.05,682.6,664.7
38.05,664.7,646.7
39.05,610.8,592.8
40.05,592.8,592.8
41.05,610.8,574.9
42.05,556.9,538.9
43.05,503,431.1
44.06,431.1,413.2
45.06,413.2,395.2
46.06,395.2,377.2
47.06,413.2,377.2
48.06,395.2,359.3
49.06,359.3,341.3
50.06,323.4,179.6
51.06,323.4,287.4
52.07,377.2,323.4
53.07,305.4,287.4
54.07,269.5,251.5
55.07,233.5,215.6
56.07,215.6,179.6
57.07,107.8,17.96
58.07,,
59.07,,
60.08,,
61.08,,
62.08,71.86,17.96
63.08,1437,323.4
64.08,1850,1563
65.08,1976,1904
66.08,1976,1976
67.08,1976,1976
68.09,1940,1832
69.09,1796,1743
70.09,1707,1653
71.09,1635,1617
72.09,1581,1473
73.09,1455,1419
74.09,1383,1365
75.09,1347,1311
76.1,1311,1293
77.1,1257,1222
78.1,1204,1186
79.1,1168,1114
80.1,1078,1006
81.1,1006,970.1
82.1,1006,970.1
83.1,916.2,862.3
84.11,862.3,844.3
85.11,844.3,808.4
86.11,862.3,844.3
87.11,826.3,808.4
88.11,772.5,700.6
89.11,682.6,664.7
90.11,646.7,628.7
91.11,610.8,592.8
92.12,592.8,592.8
93.12,574.9,503
94.12,538.9,521
95.12,538.9,503
96.12,485,449.1
97.12,449.1,431.1
98.12,449.1,413.2
99.12,467.1,431.1
100.1,413.2,107.8
101.1,377.2,323.4
102.1,341.3,323.4
103.1,377.2,341.3
104.1,341.3,341.3
105.1,323.4,305.4
106.1,287.4,287.4
107.1,287.4,287.4
108.1,269.5,269.5
109.1,287.4,287.4
110.1,287.4,233.5
111.1,215.6,179.6
112.1,107.8,17.96
