# Vilar et al. (2002) Fig. 7, panel a: stochastic free activator A, rescaled mRNA rates
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 9-166 (157 px for 0-1500), axis columns 115-492 (0-400 h)
# Traced columns 120-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 10 marks on a 25 h grid, max deviation 0.75 px, ignored [428.0]
# y ticks: 4 marks on a 500 grid, max deviation 0.33 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 9.55. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 9.55 vertically, 1.06 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.305,496.8,9.554
6.366,,
7.427,,
8.488,,
9.549,,
10.61,,
11.67,,
12.73,,
13.79,,
14.85,,
15.92,,
16.98,,
18.04,,
19.1,,
20.16,,
21.22,,
22.28,66.88,9.554
23.34,812.1,181.5
24.4,936.3,831.2
25.46,936.3,601.9
26.53,535,66.88
27.59,,
28.65,,
29.71,,
30.77,,
31.83,,
32.89,,
33.95,,
35.01,,
36.07,,
37.14,,
38.2,,
39.26,,
40.32,,
41.38,162.4,9.554
42.44,773.9,238.9
43.5,993.6,783.4
44.56,821.7,573.2
45.62,515.9,296.2
46.68,210.2,9.554
47.75,,
48.81,,
49.87,,
50.93,,
51.99,,
53.05,,
54.11,,
55.17,,
56.23,,
57.29,,
58.36,,
59.42,19.11,9.554
60.48,,
61.54,9.554,9.554
62.6,,
63.66,,
64.72,,
65.78,,
66.84,458.6,9.554
67.9,955.4,582.8
68.97,869.4,745.2
70.03,707,363.1
71.09,353.5,28.66
72.15,,
73.21,,
74.27,,
75.33,,
76.39,,
77.45,,
78.51,,
79.58,,
80.64,,
81.7,,
82.76,,
83.82,,
84.88,191.1,9.554
85.94,707,391.7
87,773.9,601.9
88.06,487.3,219.7
89.12,219.7,19.11
90.19,,
91.25,,
92.31,,
93.37,,
94.43,,
95.49,,
96.55,,
97.61,,
98.67,,
99.73,,
100.8,,
101.9,,
102.9,,
104,,
105,,
106.1,305.7,9.554
107.2,1099,468.2
108.2,1204,984.1
109.3,965,716.6
110.3,745.2,487.3
111.4,468.2,85.99
112.5,,
113.5,,
114.6,,
115.6,,
116.7,,
117.8,,
118.8,,
119.9,,
121,,
122,,
123.1,,
124.1,,
125.2,,
126.3,,
127.3,,
128.4,,
129.4,477.7,28.66
130.5,1013,697.5
131.6,907.6,754.8
132.6,707,95.54
133.7,28.66,9.554
134.7,,
135.8,,
136.9,,
137.9,,
139,,
140.1,,
141.1,,
142.2,9.554,9.554
143.2,,
144.3,,
145.4,9.554,9.554
146.4,,
147.5,,
148.5,,
149.6,,
150.7,258,57.32
151.7,668.8,468.2
152.8,745.2,611.5
153.8,544.6,429.9
154.9,363.1,9.554
156,,
157,,
158.1,,
159.2,,
160.2,,
161.3,,
162.3,,
163.4,,
164.5,,
165.5,,
166.6,,
167.6,,
168.7,,
169.8,,
170.8,,
171.9,,
172.9,993.6,191.1
174,898.1,793
175.1,773.9,391.7
176.1,258,9.554
177.2,,
178.2,,
179.3,,
180.4,,
181.4,,
182.5,,
183.6,,
184.6,,
185.7,,
186.7,,
187.8,,
188.9,,
189.9,,
191,,
192,,
193.1,9.554,9.554
194.2,,
195.2,9.554,9.554
196.3,133.8,9.554
197.3,974.5,258
198.4,1051,783.4
199.5,668.8,353.5
200.5,133.8,57.32
201.6,,
202.7,,
203.7,,
204.8,,
205.8,,
206.9,,
208,,
209,,
210.1,,
211.1,,
212.2,,
213.3,133.8,9.554
214.3,945.9,305.7
215.4,1013,850.3
216.4,869.4,707
217.5,621,124.2
218.6,28.66,19.11
219.6,,
220.7,,
221.8,,
222.8,,
223.9,,
224.9,,
226,,
227.1,,
228.1,,
229.2,,
230.2,,
231.3,,
232.4,,
233.4,,
234.5,,
235.5,687.9,19.11
236.6,936.3,831.2
237.7,888.5,601.9
238.7,515.9,391.7
239.8,334.4,19.11
240.8,,
241.9,,
243,,
244,,
245.1,,
246.2,,
247.2,,
248.3,,
249.3,,
250.4,,
251.5,,
252.5,,
253.6,,
254.6,,
255.7,9.554,9.554
256.8,401.3,28.66
257.8,1080,506.4
258.9,1108,840.8
259.9,812.1,449
261,382.2,9.554
262.1,,
263.1,,
264.2,,
265.3,,
266.3,,
267.4,,
268.4,,
269.5,,
270.6,,
271.6,,
272.7,,
273.7,,
274.8,,
275.9,,
276.9,630.6,38.22
278,907.6,726.1
279,869.4,735.7
280.1,687.9,238.9
281.2,210.2,28.66
282.2,,
283.3,,
284.4,,
285.4,,
286.5,,
287.5,,
288.6,,
289.7,,
290.7,,
291.8,,
292.8,,
