# Vilar et al. (2002) Fig. 7, panel b: stochastic activator transcript M_A, rescaled mRNA rates
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 195-352 (157 px for 0-3), axis columns 115-492 (0-400 h)
# Traced columns 120-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 10 marks on a 25 h grid, max deviation 0.75 px, ignored [428.0]
# y ticks: 3 marks on a 0.5 grid, max deviation 0.67 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 0.0191. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 0.0191 vertically, 1.06 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.305,0.9936,0.01911
6.366,,
7.427,,
8.488,,
9.549,,
10.61,,
11.67,,
12.73,,
13.79,0.2293,0.01911
14.85,0.9936,0.09554
15.92,,
16.98,,
18.04,,
19.1,,
20.16,0.9745,0.01911
21.22,0.4204,0.01911
22.28,0.9936,0.01911
23.34,0.9936,0.9936
24.4,1.682,0.9936
25.46,1.987,1.089
26.53,0.9172,0.1146
27.59,0.07643,0.01911
28.65,0.9936,0.01911
29.71,,
30.77,,
31.83,,
32.89,,
33.95,,
35.01,0.9936,0.01911
36.07,0.1146,0.01911
37.14,0.9936,0.01911
38.2,,
39.26,,
40.32,,
41.38,0.2293,0.01911
42.44,0.9745,0.01911
43.5,,
44.56,0.9936,0.01911
45.62,0.9936,0.01911
46.68,,
47.75,,
48.81,,
49.87,,
50.93,,
51.99,,
53.05,,
54.11,0.8599,0.01911
55.17,0.8599,0.01911
56.23,0.9936,0.01911
57.29,0.9936,0.01911
58.36,,
59.42,,
60.48,,
61.54,0.9936,0.01911
62.6,0.3822,0.01911
63.66,0.9936,0.01911
64.72,0.9936,0.01911
65.78,0.9936,0.01911
66.84,1.987,0.01911
67.9,0.9936,0.01911
68.97,0.9936,0.1338
70.03,0.9936,0.07643
71.09,,
72.15,,
73.21,0.9936,0.01911
74.27,0.3822,0.01911
75.33,0.9936,0.01911
76.39,,
77.45,,
78.51,,
79.58,,
80.64,,
81.7,0.9745,0.01911
82.76,0.172,0.01911
83.82,0.9936,0.01911
84.88,0.9745,0.01911
85.94,0.9936,0.3631
87,1.987,0.172
88.06,1.987,0.9745
89.12,0.8025,0.01911
90.19,0.9745,0.01911
91.25,0.1911,0.01911
92.31,0.9745,0.01911
93.37,,
94.43,,
95.49,,
96.55,,
97.61,,
98.67,,
99.73,,
100.8,,
101.9,0.6879,0.01911
102.9,0.6115,0.01911
104,,
105,,
106.1,,
107.2,0.9936,0.01911
108.2,0.9936,0.01911
109.3,0.9936,0.6497
110.3,0.707,0.01911
111.4,,
112.5,,
113.5,0.9745,0.01911
114.6,0.9936,0.01911
115.6,0.172,0.01911
116.7,0.2675,0.01911
117.8,0.8599,0.01911
118.8,0.4013,0.01911
119.9,0.9745,0.01911
121,,
122,0.9936,0.01911
123.1,,
124.1,,
125.2,0.9554,0.01911
126.3,,
127.3,,
128.4,,
129.4,,
130.5,0.9745,0.01911
131.6,0.9936,0.01911
132.6,0.9745,0.01911
133.7,,
134.7,,
135.8,,
136.9,,
137.9,,
139,,
140.1,0.9936,0.01911
141.1,1.987,0.01911
142.2,0.707,0.01911
143.2,0.9745,0.01911
144.3,,
145.4,,
146.4,,
147.5,,
148.5,,
149.6,,
150.7,0.9936,0.1146
151.7,0.4013,0.01911
152.8,0.9936,0.01911
153.8,,
154.9,,
156,,
157,,
158.1,,
159.2,,
160.2,,
161.3,,
162.3,,
163.4,,
164.5,,
165.5,,
166.6,0.09554,0.01911
167.6,0.9936,0.01911
168.7,0.9936,0.4013
169.8,0.09554,0.01911
170.8,,
171.9,0.9936,0.01911
172.9,0.9936,0.01911
174,0.9172,0.01911
175.1,0.05732,0.01911
176.1,,
177.2,,
178.2,,
179.3,,
180.4,0.9936,0.2675
181.4,0.535,0.01911
182.5,0.9936,0.01911
183.6,0.9936,0.01911
184.6,0.3057,0.01911
185.7,0.4586,0.01911
186.7,0.9936,0.1338
187.8,0.8408,0.01911
188.9,0.6688,0.01911
189.9,,
191,0.05732,0.01911
192,0.9936,0.01911
193.1,,
194.2,,
195.2,0.6115,0.01911
196.3,1.051,0.01911
197.3,1.682,0.7452
198.4,0.9936,0.1146
199.5,0.9936,0.1146
200.5,,
201.6,,
202.7,,
203.7,0.9936,0.1146
204.8,0.8981,0.01911
205.8,,
206.9,0.2293,0.01911
208,0.9936,0.01911
209,,
210.1,0.9936,0.01911
211.1,,
212.2,,
213.3,0.707,0.01911
214.3,0.9936,0.01911
215.4,1.987,0.9936
216.4,0.9936,0.09554
217.5,0.9745,0.01911
218.6,0.09554,0.01911
219.6,,
220.7,,
221.8,,
222.8,,
223.9,,
224.9,,
226,,
227.1,,
228.1,,
229.2,0.9936,0.01911
230.2,0.9936,0.4586
231.3,0.9936,0.2675
232.4,,
233.4,,
234.5,1.013,0.01911
235.5,1.968,0.9936
236.6,0.9936,0.4013
237.7,0.9936,0.01911
238.7,1.987,0.07643
239.8,1.013,0.01911
240.8,,
241.9,,
243,,
244,,
245.1,,
246.2,,
247.2,0.9745,0.01911
248.3,,
249.3,,
250.4,,
251.5,,
252.5,,
253.6,,
254.6,0.8217,0.01911
255.7,0.8025,0.01911
256.8,,
257.8,1.987,0.01911
258.9,1.987,0.01911
259.9,1.013,0.5924
261,0.6115,0.01911
262.1,0.9745,0.01911
263.1,,
264.2,,
265.3,0.9745,0.01911
266.3,0.4204,0.01911
267.4,,
268.4,,
269.5,0.4204,0.01911
270.6,0.9554,0.01911
271.6,,
272.7,0.8408,0.01911
273.7,0.7643,0.01911
274.8,,
275.9,0.2102,0.01911
276.9,1.987,0.01911
278,0.9936,0.01911
279,0.3822,0.01911
280.1,0.9936,0.01911
281.2,,
282.2,,
283.3,,
284.4,,
285.4,,
286.5,,
287.5,,
288.6,,
289.7,,
290.7,,
291.8,,
292.8,0.2102,0.01911
293.9,0.9936,0.01911
295,0.5159,0.01911
296,0.9936,0.879
297.1,0.9936,0.1529
298.1,,
299.2,,
300.3,,
301.3,,
302.4,,
303.4,,
304.5,,
305.6,,
306.6,,
307.7,,
308.8,,
309.8,,
310.9,0.1146,0.01911
311.9,0.9745,0.01911
313,0.9936,0.01911
314.1,0.9936,0.01911
315.1,0.6497,0.01911
316.2,,
317.2,,
318.3,,
319.4,,
320.4,,
321.5,,
322.5,0.7834,0.01911
323.6,0.8408,0.01911
324.7,0.9363,0.01911
325.7,0.9936,0.01911
326.8,0.9936,0.4968
327.9,0.2102,0.01911
328.9,,
330,,
331,,
332.1,2.885,0.1146
333.2,0.9936,0.1146
334.2,1.987,0.01911
335.3,0.6306,0.01911
336.3,,
337.4,,
338.5,0.2484,0.01911
339.5,0.9745,0.01911
340.6,,
341.6,,
342.7,,
343.8,0.8599,0.01911
344.8,0.9936,0.01911
345.9,0.9745,0.01911
346.9,0.9936,0.01911
348,,
349.1,0.9554,0.1146
350.1,0.9936,0.9936
351.2,1.777,0.9936
352.3,1.299,0.8599
353.3,1.987,0.01911
354.4,1.318,0.01911
355.4,,
356.5,,
357.6,,
358.6,,
359.7,0.9745,0.01911
360.7,0.2293,0.01911
361.8,0.9936,0.01911
362.9,,
363.9,,
365,,
366,,
367.1,0.9745,0.01911
368.2,0.6115,0.01911
369.2,0.9936,0.01911
370.3,0.9936,0.03822
371.4,0.9745,0.01911
372.4,,
373.5,0.3822,0.01911
374.5,0.9745,0.01911
375.6,,
376.7,0.2102,0.01911
377.7,0.9936,0.01911
378.8,,
379.8,0.9936,0.01911
380.9,0.05732,0.01911
382,,
383,0.6115,0.01911
384.1,0.8025,0.01911
385.1,,
386.2,,
387.3,,
388.3,,
389.4,,
390.5,,
391.5,0.9936,0.01911
392.6,,
393.6,,
394.7,1.987,0.01911
