# Vilar et al. (2002) Fig. 7, panel c: stochastic free repressor R, rescaled mRNA rates
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 382-538 (156 px for 0-1500), axis columns 115-492 (0-400 h)
# Traced columns 120-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 10 marks on a 25 h grid, max deviation 0.75 px, ignored [428.0]
# y ticks: 6 marks on a 250 grid, max deviation 0.00 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 9.62. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 9.62 vertically, 1.06 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.305,1000,9.615
6.366,1221,740.4
7.427,1346,1269
8.488,1279,1212
9.549,1173,1000
10.61,951.9,644.2
11.67,634.6,625
12.73,625,528.8
13.79,490.4,384.6
14.85,336.5,259.6
15.92,230.8,182.7
16.98,269.2,211.5
18.04,211.5,173.1
19.1,173.1,134.6
20.16,163.5,115.4
21.22,134.6,105.8
22.28,125,105.8
23.34,19.23,19.23
24.4,,
25.46,,
26.53,403.8,57.69
27.59,1250,548.1
28.65,1346,1298
29.71,1327,1231
30.77,1154,1038
31.83,990.4,903.8
32.89,865.4,721.2
33.95,682.7,586.5
35.01,548.1,471.2
36.07,442.3,394.2
37.14,375,346.2
38.2,317.3,211.5
39.26,192.3,125
40.32,134.6,105.8
41.38,96.15,48.08
42.44,,
43.5,,
44.56,,
45.62,,
46.68,615.4,19.23
47.75,1154,750
48.81,1240,1154
49.87,1144,1019
50.93,961.5,826.9
51.99,788.5,740.4
53.05,721.2,615.4
54.11,596.2,567.3
55.17,528.8,384.6
56.23,375,346.2
57.29,288.5,163.5
58.36,221.2,182.7
59.42,201.9,105.8
60.48,115.4,67.31
61.54,115.4,96.15
62.6,115.4,67.31
63.66,144.2,105.8
64.72,134.6,105.8
65.78,67.31,28.85
66.84,57.69,9.615
67.9,,
68.97,,
70.03,,
71.09,67.31,9.615
72.15,1038,336.5
73.21,1317,1173
74.27,1231,1183
75.33,1135,980.8
76.39,923.1,817.3
77.45,788.5,682.7
78.51,586.5,451.9
79.58,432.7,384.6
80.64,375,355.8
81.7,326.9,298.1
82.76,288.5,192.3
83.82,201.9,144.2
84.88,48.08,9.615
85.94,,
87,,
88.06,,
89.12,355.8,9.615
90.19,1212,625
91.25,1212,1202
92.31,1173,1029
93.37,971.2,865.4
94.43,798.1,759.6
95.49,740.4,663.5
96.55,634.6,576.9
97.61,528.8,471.2
98.67,442.3,384.6
99.73,336.5,259.6
100.8,269.2,250
101.9,269.2,230.8
102.9,201.9,192.3
104,182.7,163.5
105,144.2,105.8
106.1,67.31,9.615
107.2,,
108.2,,
109.3,,
110.3,,
111.4,240.4,9.615
112.5,1327,490.4
113.5,1423,1365
114.6,1365,1308
115.6,1240,1077
116.7,1019,865.4
117.8,846.2,721.2
118.8,673.1,567.3
119.9,500,442.3
121,384.6,317.3
122,307.7,278.8
123.1,307.7,278.8
124.1,278.8,259.6
125.2,250,230.8
126.3,201.9,125
127.3,134.6,67.31
128.4,144.2,125
129.4,96.15,9.615
130.5,,
131.6,,
132.6,173.1,9.615
133.7,1077,432.7
134.7,1346,1212
135.8,1327,1221
136.9,1154,1038
137.9,971.2,817.3
139,750,663.5
140.1,615.4,519.2
141.1,519.2,471.2
142.2,442.3,365.4
143.2,365.4,355.8
144.3,336.5,240.4
145.4,230.8,192.3
146.4,192.3,67.31
147.5,192.3,134.6
148.5,163.5,144.2
149.6,144.2,125
150.7,,
151.7,,
152.8,,
153.8,,
154.9,826.9,9.615
156,1308,1048
157,1308,1288
158.1,1240,1067
159.2,942.3,894.2
160.2,836.5,769.2
161.3,740.4,644.2
162.3,596.2,403.8
163.4,403.8,384.6
164.5,384.6,307.7
165.5,326.9,278.8
166.6,326.9,317.3
167.6,240.4,173.1
168.7,192.3,153.8
169.8,153.8,134.6
170.8,144.2,96.15
171.9,153.8,115.4
172.9,48.08,9.615
174,,
175.1,,
176.1,375,9.615
177.2,1163,701.9
178.2,1260,1192
179.3,1192,1125
180.4,1096,980.8
181.4,913.5,769.2
182.5,750,663.5
183.6,625,519.2
184.6,500,451.9
185.7,355.8,326.9
186.7,346.2,317.3
187.8,288.5,278.8
188.9,269.2,240.4
189.9,240.4,105.8
191,163.5,144.2
192,163.5,153.8
193.1,115.4,76.92
194.2,134.6,76.92
195.2,144.2,57.69
196.3,57.69,19.23
197.3,,
198.4,,
199.5,,
200.5,663.5,57.69
201.6,1010,836.5
202.7,1087,1048
203.7,1087,971.2
204.8,923.1,778.8
205.8,711.5,615.4
206.9,576.9,528.8
208,500,432.7
209,413.5,403.8
210.1,384.6,317.3
211.1,278.8,192.3
212.2,250,230.8
213.3,221.2,48.08
214.3,,
215.4,,
216.4,,
217.5,230.8,9.615
218.6,1077,490.4
219.6,1250,1173
220.7,1231,1125
221.8,1067,951.9
222.8,903.8,798.1
223.9,730.8,615.4
224.9,586.5,471.2
226,442.3,384.6
227.1,375,259.6
228.1,230.8,211.5
229.2,192.3,182.7
230.2,173.1,134.6
231.3,144.2,125
232.4,125,96.15
233.4,125,105.8
234.5,96.15,96.15
235.5,67.31,9.615
236.6,,
237.7,,
238.7,,
239.8,375,9.615
240.8,1115,644.2
241.9,1202,1144
243,1154,1096
244,1067,961.5
245.1,884.6,721.2
246.2,682.7,644.2
247.2,634.6,528.8
248.3,490.4,451.9
249.3,423.1,355.8
250.4,375,355.8
251.5,346.2,298.1
252.5,307.7,173.1
253.6,153.8,144.2
254.6,134.6,86.54
255.7,67.31,67.31
256.8,48.08,9.615
257.8,,
258.9,,
259.9,,
261,355.8,9.615
262.1,1298,653.8
263.1,1413,1375
264.2,1404,1317
265.3,1279,1058
266.3,1019,913.5
267.4,875,788.5
268.4,750,634.6
269.5,586.5,500
270.6,461.5,423.1
271.6,403.8,326.9
272.7,278.8,250
273.7,221.2,163.5
274.8,173.1,144.2
275.9,153.8,115.4
276.9,67.31,9.615
278,,
279,,
280.1,,
281.2,346.2,9.615
282.2,1135,490.4
283.3,1192,1135
284.4,1173,1087
285.4,1038,923.1
286.5,884.6,750
287.5,711.5,576.9
288.6,538.5,461.5
289.7,442.3,413.5
290.7,403.8,365.4
291.8,326.9,259.6
292.8,230.8,192.3
293.9,201.9,163.5
295,125,9.615
296,,
297.1,,
298.1,,
299.2,557.7,57.69
300.3,1192,759.6
301.3,1231,1144
302.4,1115,980.8
303.4,942.3,769.2
304.5,750,692.3
305.6,644.2,528.8
306.6,471.2,451.9
307.7,442.3,384.6
308.8,346.2,298.1
309.8,278.8,259.6
310.9,221.2,192.3
311.9,173.1,57.69
313,,
314.1,,
315.1,,
316.2,403.8,9.615
