# Vilar et al. (2002) Fig. 7, panel d: stochastic repressor transcript M_R, rescaled mRNA rates
# Source: embedded 150 ppi grayscale JPEG extracted with pdfimages from the article PDF; no resampling
# Panel: frame rows 568-724 (156 px for 0-4), axis columns 115-492 (0-400 h)
# Traced columns 120-487: the 5 columns beside each vertical axis are dropped because the y tick marks reach into them and can coincide with the curve, so the first and last few hours are absent
# x ticks: 10 marks on a 25 h grid, max deviation 0.75 px, ignored [428.0]
# y ticks: 5 marks on a 1 grid, max deviation 0.00 px, ignored []
# upper/lower are the topmost and bottommost curve ink in each pixel column; a relaxation oscillator is not single valued within a column
# Frame rows and the two axis columns are excluded, so 'lower' saturates at 0.0256. An empty row is a column with no interior ink, meaning the curve lies on the bottom axis: read it as 'at or below the floor', not as missing data
# Uncertainty: 1 px = 0.0256 vertically, 1.06 h horizontally
# Regenerated by digitize_vilar2002.py
time_h,upper,lower
5.305,,
6.366,,
7.427,,
8.488,,
9.549,,
10.61,,
11.67,,
12.73,,
13.79,0.9744,0.02564
14.85,0.4103,0.02564
15.92,,
16.98,,
18.04,,
19.1,,
20.16,,
21.22,,
22.28,,
23.34,,
24.4,,
25.46,2.974,0.1538
26.53,3.513,0.1538
27.59,,
28.65,,
29.71,,
30.77,,
31.83,,
32.89,,
33.95,,
35.01,,
36.07,,
37.14,,
38.2,,
39.26,,
40.32,,
41.38,,
42.44,2.641,0.02564
43.5,2.564,0.3333
44.56,,
45.62,,
46.68,,
47.75,,
48.81,,
49.87,,
50.93,,
51.99,,
53.05,,
54.11,,
55.17,,
56.23,,
57.29,,
58.36,,
59.42,,
60.48,,
61.54,,
62.6,,
63.66,,
64.72,,
65.78,0.7179,0.02564
66.84,2,1.667
67.9,2,0.7692
68.97,0.3077,0.02564
70.03,0.9744,0.02564
71.09,,
72.15,,
73.21,,
74.27,,
75.33,,
76.39,,
77.45,,
78.51,,
79.58,,
80.64,,
81.7,,
82.76,,
83.82,,
84.88,,
85.94,0.6667,0.02564
87,1,0.6154
88.06,0.9744,0.02564
89.12,0.4615,0.02564
90.19,,
91.25,,
92.31,,
93.37,,
94.43,,
95.49,,
96.55,,
97.61,,
98.67,,
99.73,,
100.8,,
101.9,,
102.9,,
104,,
105,,
106.1,1.974,0.02564
107.2,1.359,0.6154
108.2,0.6154,0.02564
109.3,1.974,0.02564
110.3,2,0.02564
111.4,,
112.5,,
113.5,,
114.6,,
115.6,,
116.7,,
117.8,,
118.8,,
119.9,,
121,,
122,,
123.1,,
124.1,,
125.2,,
126.3,,
127.3,,
128.4,0.641,0.02564
129.4,1.974,0.02564
130.5,1,0.02564
131.6,0.7949,0.02564
132.6,0.9744,0.02564
133.7,,
134.7,,
135.8,,
136.9,,
137.9,,
139,,
140.1,,
141.1,,
142.2,,
143.2,,
144.3,,
145.4,,
146.4,,
147.5,,
148.5,,
149.6,0.9744,0.1538
150.7,0.8462,0.1538
151.7,3,0.8205
152.8,0.6923,0.02564
153.8,0.9744,0.02564
154.9,,
156,,
157,,
158.1,,
159.2,,
160.2,,
161.3,,
162.3,,
163.4,,
164.5,,
165.5,,
166.6,,
167.6,,
168.7,,
169.8,,
170.8,,
171.9,0.2308,0.05128
172.9,1.974,0.4872
174,0.9744,0.02564
175.1,0.9744,0.02564
176.1,,
177.2,,
178.2,,
179.3,,
180.4,,
181.4,,
182.5,,
183.6,,
184.6,,
185.7,,
186.7,,
187.8,,
188.9,,
189.9,,
191,,
192,,
193.1,,
194.2,,
195.2,,
196.3,0.9744,0.05128
197.3,1.026,0.02564
198.4,1.974,0.1795
199.5,0.9744,0.1538
200.5,,
201.6,,
202.7,,
203.7,,
204.8,,
205.8,,
206.9,,
208,,
209,,
210.1,,
211.1,,
212.2,,
213.3,1,0.3333
214.3,2,1
215.4,1,0.02564
216.4,2,1
217.5,1.974,0.02564
218.6,,
219.6,,
220.7,,
221.8,,
222.8,,
223.9,,
224.9,,
226,,
227.1,,
228.1,,
229.2,,
230.2,,
231.3,,
232.4,,
233.4,,
234.5,1,0.02564
235.5,2,1.154
236.6,1.179,0.3846
237.7,1,0.2821
238.7,1.231,0.02564
239.8,1.692,0.02564
240.8,,
241.9,,
243,,
244,,
245.1,,
246.2,,
247.2,,
248.3,,
249.3,,
250.4,,
251.5,,
252.5,,
253.6,,
254.6,,
255.7,0.7179,0.02564
256.8,2.974,0.02564
257.8,1.974,0.02564
258.9,1.974,0.2308
259.9,2,0.02564
261,0.5128,0.05128
262.1,,
263.1,,
264.2,0.05128,0.02564
265.3,0.9744,0.02564
266.3,,
267.4,,
268.4,,
269.5,,
270.6,,
271.6,,
272.7,,
273.7,,
274.8,,
275.9,0.1026,0.05128
276.9,1,0.02564
278,1.974,0.4615
279,1,0.02564
280.1,0.9744,0.02564
281.2,0.8718,0.02564
282.2,,
283.3,,
284.4,,
285.4,,
286.5,,
287.5,,
288.6,,
289.7,,
290.7,,
291.8,,
292.8,,
293.9,,
295,0.3333,0.02564
296,0.9744,0.02564
297.1,0.9744,0.02564
298.1,1.974,0.1538
299.2,,
300.3,,
301.3,,
302.4,,
303.4,,
304.5,,
305.6,,
306.6,,
307.7,,
308.8,,
309.8,,
310.9,,
311.9,0.9744,0.02564
313,3,0.05128
314.1,2,0.9744
315.1,0.641,0.02564
316.2,,
317.2,,
318.3,,
319.4,,
320.4,,
321.5,,
322.5,,
323.6,,
324.7,,
325.7,,
326.8,,
327.9,,
328.9,,
330,0.4359,0.02564
331,0.9744,0.1538
332.1,3.846,0.9487
333.2,2.846,0.1538
334.2,1.974,0.1795
335.3,0.6667,0.02564
336.3,,
337.4,,
338.5,,
339.5,,
340.6,,
341.6,,
342.7,,
343.8,,
344.8,,
345.9,,
346.9,,
348,,
