panel,quantity,units,a_per_day,time_day,value,pixel_spread
PrP_C,PrPC concentration,nM,0.0235,2.242,1.0857,0.0019
PrP_C,PrPC concentration,nM,0.0235,3.22,1.0424,0.0116
PrP_C,PrPC concentration,nM,0.0235,4.198,1.0327,0.0308
PrP_C,PrPC concentration,nM,0.0235,5.176,0.9653,0.0424
PrP_C,PrPC concentration,nM,0.0235,6.154,0.9538,0.0655
PrP_C,PrPC concentration,nM,0.0235,7.132,0.9576,0.0578
PrP_C,PrPC concentration,nM,0.0235,8.11,1.001,0.0597
PrP_C,PrPC concentration,nM,0.0235,9.088,1.0029,0.0443
PrP_C,PrPC concentration,nM,0.0235,10.066,0.9856,0.0327
PrP_C,PrPC concentration,nM,0.0235,11.044,0.9769,0.0154
PrP_C,PrPC concentration,nM,0.0235,12.022,0.9913,0.0135
PrP_C,PrPC concentration,nM,0.0235,13.0,0.9875,0.0289
PrP_C,PrPC concentration,nM,0.0235,13.978,0.9692,0.0405
PrP_C,PrPC concentration,nM,0.0235,14.956,0.9769,0.0539
PrP_C,PrPC concentration,nM,0.0235,15.934,1.0019,0.0482
PrP_C,PrPC concentration,nM,0.0235,16.912,1.0144,0.0289
PrP_C,PrPC concentration,nM,0.0235,17.89,1.0096,0.0193
PrP_C,PrPC concentration,nM,0.0235,18.868,0.9884,0.0077
PrP_C,PrPC concentration,nM,0.0235,19.846,0.9865,0.0116
PrP_C,PrPC concentration,nM,0.0235,20.824,0.9846,0.0077
PrP_C,PrPC concentration,nM,0.0235,22.779,0.975,0.0116
PrP_C,PrPC concentration,nM,0.0235,23.757,0.973,0.0154
PrP_C,PrPC concentration,nM,0.0235,24.735,0.9644,0.0212
PrP_C,PrPC concentration,nM,0.0235,25.713,0.9557,0.0193
PrP_C,PrPC concentration,nM,0.0235,26.691,1.0241,0.0193
PrP_C,PrPC concentration,nM,0.0235,27.669,0.9461,0.0077
PrP_C,PrPC concentration,nM,0.0235,28.647,0.9451,0.0096
PrP_C,PrPC concentration,nM,0.0235,29.625,0.9335,0.0289
PrP_C,PrPC concentration,nM,0.0235,30.603,0.9345,0.0462
PrP_C,PrPC concentration,nM,0.0235,31.581,0.9499,0.0867
PrP_C,PrPC concentration,nM,0.0235,32.559,0.9769,0.0694
PrP_C,PrPC concentration,nM,0.0235,33.537,1.0077,0.027
PrP_C,PrPC concentration,nM,0.0235,34.515,0.999,0.0405
PrP_C,PrPC concentration,nM,0.0235,35.493,0.9663,0.1021
PrP_C,PrPC concentration,nM,0.0235,36.471,0.9229,0.1233
PrP_C,PrPC concentration,nM,0.0235,37.449,0.8757,0.0982
PrP_C,PrPC concentration,nM,0.0235,38.427,0.842,0.0771
PrP_C,PrPC concentration,nM,0.0235,39.405,0.818,0.0289
PrP_C,PrPC concentration,nM,0.0235,40.383,0.8093,0.0116
PrP_C,PrPC concentration,nM,0.0235,41.361,0.8093,0.0116
PrP_C,PrPC concentration,nM,0.0235,42.339,0.8064,0.0096
PrP_C,PrPC concentration,nM,0.0235,43.317,0.8054,0.0116
PrP_C,PrPC concentration,nM,0.0235,44.295,0.8045,0.0096
PrP_C,PrPC concentration,nM,0.0235,45.273,0.8025,0.0096
PrP_C,PrPC concentration,nM,0.0235,46.251,0.7977,0.0154
PrP_C,PrPC concentration,nM,0.0235,47.229,0.7939,0.0154
PrP_C,PrPC concentration,nM,0.0235,48.207,0.7891,0.0135
PrP_C,PrPC concentration,nM,0.0235,49.185,0.7563,0.0751
PrP_C,PrPC concentration,nM,0.0235,50.163,0.7101,0.1637
PrP_C,PrPC concentration,nM,0.0235,51.141,0.6764,0.1002
PrP_C,PrPC concentration,nM,0.0235,52.119,0.6398,0.0231
PrP_C,PrPC concentration,nM,0.0235,53.097,0.6311,0.052
PrP_C,PrPC concentration,nM,0.0235,54.075,0.6118,0.0828
PrP_C,PrPC concentration,nM,0.0235,55.053,0.5839,0.0616
PrP_C,PrPC concentration,nM,0.0235,56.031,0.5579,0.0443
PrP_C,PrPC concentration,nM,0.0235,57.009,0.5463,0.0212
PrP_C,PrPC concentration,nM,0.0235,57.987,0.5454,0.0193
PrP_C,PrPC concentration,nM,0.0235,58.965,0.528,0.0539
PrP_C,PrPC concentration,nM,0.0235,59.943,0.5117,0.0559
PrP_C,PrPC concentration,nM,0.0235,60.921,0.4924,0.0405
PrP_C,PrPC concentration,nM,0.0235,61.899,0.4654,0.0443
PrP_C,PrPC concentration,nM,0.0235,62.877,0.4471,0.0578
PrP_C,PrPC concentration,nM,0.0235,63.855,0.4346,0.0366
PrP_C,PrPC concentration,nM,0.0235,64.833,0.4269,0.0173
PrP_C,PrPC concentration,nM,0.0235,65.811,0.4269,0.0173
PrP_C,PrPC concentration,nM,0.0235,66.789,0.4202,0.0231
PrP_C,PrPC concentration,nM,0.0235,67.767,0.4105,0.027
PrP_C,PrPC concentration,nM,0.0235,68.745,0.399,0.027
PrP_C,PrPC concentration,nM,0.0235,69.723,0.3836,0.0347
PrP_C,PrPC concentration,nM,0.0235,70.701,0.3662,0.0501
PrP_C,PrPC concentration,nM,0.0235,71.679,0.3537,0.0327
PrP_C,PrPC concentration,nM,0.0235,72.657,0.3441,0.0173
PrP_C,PrPC concentration,nM,0.0235,73.635,0.3296,0.0462
PrP_C,PrPC concentration,nM,0.0235,74.613,0.3161,0.0501
PrP_C,PrPC concentration,nM,0.0235,75.591,0.2978,0.0405
PrP_C,PrPC concentration,nM,0.0235,76.569,0.2863,0.0212
PrP_C,PrPC concentration,nM,0.0235,77.547,0.294,0.025
PrP_C,PrPC concentration,nM,0.0235,78.525,0.3036,0.0289
PrP_C,PrPC concentration,nM,0.0235,79.503,0.3017,0.0327
PrP_C,PrPC concentration,nM,0.0235,80.481,0.3036,0.0559
PrP_C,PrPC concentration,nM,0.0235,81.459,0.3181,0.0848
PrP_C,PrPC concentration,nM,0.0235,82.437,0.3296,0.0616
PrP_C,PrPC concentration,nM,0.0235,83.415,0.3075,0.0482
PrP_C,PrPC concentration,nM,0.0235,84.393,0.2882,0.0327
PrP_C,PrPC concentration,nM,0.0235,85.371,0.2901,0.0366
PrP_C,PrPC concentration,nM,0.0235,86.349,0.2795,0.0616
PrP_C,PrPC concentration,nM,0.0235,87.327,0.2709,0.0482
PrP_C,PrPC concentration,nM,0.0235,88.305,0.2641,0.0308
PrP_C,PrPC concentration,nM,0.0235,89.283,0.2776,0.0424
PrP_C,PrPC concentration,nM,0.0235,90.261,0.2516,0.0944
PrP_C,PrPC concentration,nM,0.0235,91.239,0.2371,0.0694
PrP_C,PrPC concentration,nM,0.0235,92.217,0.2343,0.0405
PrP_C,PrPC concentration,nM,0.0235,93.195,0.242,0.025
PrP_C,PrPC concentration,nM,0.0235,94.173,0.2381,0.0212
PrP_C,PrPC concentration,nM,0.0235,95.151,0.2439,0.025
PrP_C,PrPC concentration,nM,0.0235,96.129,0.2497,0.0135
PrP_C,PrPC concentration,nM,0.0235,97.107,0.2477,0.0096
PrP_C,PrPC concentration,nM,0.0235,98.085,0.2477,0.0096
PrP_C,PrPC concentration,nM,0.0235,99.063,0.2468,0.0116
PrP_C,PrPC concentration,nM,0.0235,100.041,0.242,0.0173
PrP_C,PrPC concentration,nM,0.0235,101.019,0.2352,0.0193
PrP_C,PrPC concentration,nM,0.0235,101.997,0.2304,0.0135
PrP_C,PrPC concentration,nM,0.0235,102.975,0.2285,0.0096
PrP_C,PrPC concentration,nM,0.0235,103.953,0.2343,0.0212
PrP_C,PrPC concentration,nM,0.0235,104.931,0.2314,0.0385
PrP_C,PrPC concentration,nM,0.0235,105.909,0.2227,0.052
PrP_C,PrPC concentration,nM,0.0235,106.887,0.2169,0.0366
PrP_C,PrPC concentration,nM,0.0235,107.865,0.214,0.0424
PrP_C,PrPC concentration,nM,0.0235,108.843,0.2121,0.0385
PrP_C,PrPC concentration,nM,0.0235,109.821,0.2497,0.0944
PrP_C,PrPC concentration,nM,0.0235,110.799,0.2593,0.0751
PrP_C,PrPC concentration,nM,0.0235,111.777,0.2603,0.0655
PrP_C,PrPC concentration,nM,0.0235,112.755,0.242,0.052
PrP_C,PrPC concentration,nM,0.0235,113.733,0.2265,0.0212
PrP_C,PrPC concentration,nM,0.0235,114.711,0.2121,0.027
PrP_C,PrPC concentration,nM,0.0235,115.689,0.1967,0.0501
PrP_C,PrPC concentration,nM,0.0235,116.667,0.1899,0.0366
PrP_C,PrPC concentration,nM,0.0235,117.645,0.2121,0.0655
PrP_C,PrPC concentration,nM,0.0235,118.623,0.2102,0.0963
PrP_C,PrPC concentration,nM,0.0235,119.601,0.1967,0.0925
PrP_C,PrPC concentration,nM,0.0235,120.579,0.1899,0.0597
PrP_C,PrPC concentration,nM,0.0235,121.557,0.2073,0.0327
PrP_C,PrPC concentration,nM,0.0235,122.535,0.1986,0.0501
PrP_C,PrPC concentration,nM,0.0235,123.513,0.1948,0.0424
PrP_C,PrPC concentration,nM,0.0235,124.491,0.2044,0.0231
PrP_C,PrPC concentration,nM,0.0235,125.469,0.1938,0.0289
PrP_C,PrPC concentration,nM,0.0235,126.447,0.1842,0.0289
PrP_C,PrPC concentration,nM,0.0235,127.425,0.1957,0.0597
PrP_C,PrPC concentration,nM,0.0235,128.403,0.2025,0.0462
PrP_C,PrPC concentration,nM,0.0235,129.381,0.2015,0.0405
PrP_C,PrPC concentration,nM,0.0235,130.359,0.1938,0.0327
PrP_C,PrPC concentration,nM,0.0235,131.337,0.1919,0.0289
PrP_C,PrPC concentration,nM,0.0235,132.315,0.2034,0.0366
PrP_C,PrPC concentration,nM,0.0235,133.293,0.2005,0.0578
PrP_C,PrPC concentration,nM,0.0235,134.271,0.1967,0.0655
PrP_C,PrPC concentration,nM,0.0235,135.249,0.1755,0.0231
PrP_C,PrPC concentration,nM,0.0235,136.227,0.1861,0.0443
PrP_C,PrPC concentration,nM,0.0235,137.205,0.2025,0.0616
PrP_C,PrPC concentration,nM,0.0235,138.183,0.2237,0.0501
PrP_C,PrPC concentration,nM,0.0235,139.161,0.2304,0.0405
PrP_C,PrPC concentration,nM,0.0235,140.139,0.214,0.0347
PrP_C,PrPC concentration,nM,0.0235,141.117,0.1996,0.0289
PrP_C,PrPC concentration,nM,0.0235,142.095,0.1986,0.0308
PrP_C,PrPC concentration,nM,0.0235,143.073,0.2044,0.0193
PrP_C,PrPC concentration,nM,0.0235,144.051,0.2025,0.0154
PrP_C,PrPC concentration,nM,0.0235,145.029,0.2111,0.0327
PrP_C,PrPC concentration,nM,0.0235,146.007,0.2179,0.0347
PrP_C,PrPC concentration,nM,0.0235,146.985,0.2227,0.025
PrP_C,PrPC concentration,nM,0.0235,147.963,0.216,0.0347
PrP_C,PrPC concentration,nM,0.0235,148.941,0.2237,0.0501
PrP_C,PrPC concentration,nM,0.0235,149.919,0.2121,0.0694
PrP_C,PrPC concentration,nM,0.0235,150.897,0.1919,0.0289
PrP_C,PrPC concentration,nM,0.0235,151.875,0.1861,0.0212
PrP_C,PrPC concentration,nM,0.0235,152.853,0.1794,0.0347
PrP_C,PrPC concentration,nM,0.0235,153.831,0.188,0.052
PrP_C,PrPC concentration,nM,0.0235,154.809,0.1928,0.0424
PrP_C,PrPC concentration,nM,0.0235,155.787,0.1899,0.0405
PrP_C,PrPC concentration,nM,0.0235,156.765,0.2005,0.0616
PrP_C,PrPC concentration,nM,0.0235,157.743,0.2131,0.0366
PrP_C,PrPC concentration,nM,0.0235,158.721,0.1938,0.0366
PrP_C,PrPC concentration,nM,0.0235,159.699,0.1842,0.0405
PrP_C,PrPC concentration,nM,0.0235,160.677,0.1813,0.0347
PrP_C,PrPC concentration,nM,0.0235,161.655,0.1919,0.025
PrP_C,PrPC concentration,nM,0.0235,162.633,0.1967,0.0154
PrP_C,PrPC concentration,nM,0.0235,163.611,0.1832,0.0385
PrP_C,PrPC concentration,nM,0.0235,164.588,0.1716,0.0462
PrP_C,PrPC concentration,nM,0.0235,165.566,0.1851,0.0694
PrP_C,PrPC concentration,nM,0.0235,166.544,0.2073,0.0366
PrP_C,PrPC concentration,nM,0.0235,167.522,0.2063,0.0347
PrP_C,PrPC concentration,nM,0.0235,168.5,0.1967,0.027
PrP_C,PrPC concentration,nM,0.0235,169.478,0.189,0.0154
PrP_C,PrPC concentration,nM,0.0235,170.456,0.1861,0.0289
PrP_C,PrPC concentration,nM,0.0235,171.434,0.188,0.0443
PrP_C,PrPC concentration,nM,0.0235,172.412,0.1919,0.0405
PrP_C,PrPC concentration,nM,0.0235,173.39,0.189,0.0424
PrP_C,PrPC concentration,nM,0.0235,174.368,0.188,0.0482
PrP_C,PrPC concentration,nM,0.0235,175.346,0.1986,0.0501
PrP_C,PrPC concentration,nM,0.0235,176.324,0.189,0.0771
PrP_C,PrPC concentration,nM,0.0235,177.302,0.1842,0.0713
PrP_C,PrPC concentration,nM,0.0235,178.28,0.1871,0.0347
PrP_C,PrPC concentration,nM,0.0235,179.258,0.1697,0.0616
PrP_C,PrPC concentration,nM,0.0235,180.236,0.188,0.1021
PrP_C,PrPC concentration,nM,0.0235,181.214,0.1899,0.0982
PrP_C,PrPC concentration,nM,0.0235,182.192,0.1938,0.1021
PrP_C,PrPC concentration,nM,0.0235,183.17,0.215,0.0751
PrP_C,PrPC concentration,nM,0.0235,184.148,0.1967,0.0308
PrP_C,PrPC concentration,nM,0.0235,185.126,0.1851,0.0347
