Stot_molecules,R_active_MAPK_molecules
2.760144254532530539e+01,0.000000000000000000e+00
2.813528041108836675e+01,0.000000000000000000e+00
2.867944320340026820e+01,0.000000000000000000e+00
2.923413061605396379e+01,0.000000000000000000e+00
2.979954620510823915e+01,0.000000000000000000e+00
3.037589746358755605e+01,0.000000000000000000e+00
3.279495115160616336e+01,0.000000000000000000e+00
3.342923635977339103e+01,0.000000000000000000e+00
3.407578924059058778e+01,0.000000000000000000e+00
3.473484706238800612e+01,0.000000000000000000e+00
3.540665168248863637e+01,0.000000000000000000e+00
3.609144963596361322e+01,0.000000000000000000e+00
3.678949222610428649e+01,0.000000000000000000e+00
3.750103561664408147e+01,0.000000000000000000e+00
3.822634092576404186e+01,0.000000000000000000e+00
3.896567432191645253e+01,0.000000000000000000e+00
3.971930712150189891e+01,0.000000000000000000e+00
4.048751588843540361e+01,0.000000000000000000e+00
4.127058253563826895e+01,0.000000000000000000e+00
4.206879442849293582e+01,1.479289940828402337e+02
4.288244449029868122e+01,1.479289940828402337e+02
4.371183130976696418e+01,1.479289940828402337e+02
4.455725925059584824e+01,1.479289940828402337e+02
4.541903856316362464e+01,1.479289940828402337e+02
4.629748549838281235e+01,1.479289940828402337e+02
4.719292242375608026e+01,1.479289940828402337e+02
4.810567794167688760e+01,1.479289940828402337e+02
4.903608701001811454e+01,1.479289940828402337e+02
4.998449106505303519e+01,1.479289940828402337e+02
5.095123814675368834e+01,1.479289940828402337e+02
5.193668302651251878e+01,1.479289940828402337e+02
5.294118733733456139e+01,1.479289940828402337e+02
5.396511970654733403e+01,1.479289940828402337e+02
5.500885589107767970e+01,1.479289940828402337e+02
5.607277891534491232e+01,1.479289940828402337e+02
5.715727921182095628e+01,1.479289940828402337e+02
5.826275476430905087e+01,1.479289940828402337e+02
5.938961125399361407e+01,1.479289940828402337e+02
6.053826220831481919e+01,1.479289940828402337e+02
6.170912915272258203e+01,1.479289940828402337e+02
6.290264176536557272e+01,1.479289940828402337e+02
6.411923803477209560e+01,1.479289940828402337e+02
6.535936442058064699e+01,1.479289940828402337e+02
6.662347601737913294e+01,1.479289940828402337e+02
6.791203672171296546e+01,1.479289940828402337e+02
6.922551940232315815e+01,1.479289940828402337e+02
