# Source: deterministic black curve in Fig. 7B of Lipniacki et al. (2008)
# Render: article PDF page 8 at 400 dpi
# Axis calibration: x=0..12000 s; y=0..300000 ppERK molecules
# Extraction: neutral dark pixels in the black curve, sampled every 120 s
# The steep, overlap-obscured onset was excluded; ligand was added at paper_time_s=600.
paper_time_s,stimulation_time_s,ppERK_molecules
840,240,274804.688
960,360,270117.188
1080,480,263671.875
1200,600,258984.375
1320,720,253710.938
1440,840,248437.500
1560,960,243164.062
1680,1080,239062.500
1800,1200,235253.906
1920,1320,232031.250
2040,1440,229101.562
2160,1560,227343.750
2280,1680,225000.000
2400,1800,223828.125
2520,1920,221484.375
2640,2040,221484.375
2760,2160,220898.438
2880,2280,220019.531
3000,2400,219726.562
3120,2520,219140.625
3240,2640,218847.656
3360,2760,218847.656
3480,2880,217968.750
3600,3000,217968.750
3720,3120,217968.750
3840,3240,217675.781
3960,3360,217089.844
4080,3480,217089.844
4200,3600,217089.844
4320,3720,217089.844
4440,3840,216796.875
4560,3960,216796.875
4680,4080,216796.875
4800,4200,216796.875
4920,4320,216796.875
5040,4440,216796.875
5160,4560,216796.875
5280,4680,216796.875
5400,4800,216796.875
5520,4920,216796.875
5640,5040,216796.875
5760,5160,216796.875
5880,5280,216796.875
6000,5400,216796.875
6120,5520,216796.875
6240,5640,216796.875
6360,5760,216796.875
6480,5880,216796.875
6600,6000,216796.875
6720,6120,216796.875
6840,6240,216796.875
6960,6360,216796.875
7080,6480,216796.875
7200,6600,216503.906
7320,6720,216796.875
7440,6840,216796.875
7560,6960,216796.875
7680,7080,216796.875
7800,7200,216796.875
7920,7320,216796.875
8040,7440,216796.875
8160,7560,216796.875
8280,7680,216796.875
8400,7800,216796.875
8520,7920,216796.875
8640,8040,216796.875
8760,8160,216796.875
8880,8280,216796.875
9000,8400,216796.875
9120,8520,216796.875
9240,8640,216796.875
9360,8760,216796.875
9480,8880,216796.875
9600,9000,216210.938
9720,9120,216796.875
9840,9240,216796.875
9960,9360,216796.875
10080,9480,216796.875
10200,9600,216796.875
10320,9720,216796.875
10440,9840,216796.875
10560,9960,216796.875
10680,10080,216796.875
10800,10200,216796.875
10920,10320,216796.875
11040,10440,216796.875
11160,10560,216210.938
11280,10680,216796.875
11400,10800,216796.875
