protein_count,probability
0,0.0395961
1,0.0239738
2,0.0194541
3,0.0174891
4,0.0164083
5,0.0159170
6,0.0153275
7,0.0153275
8,0.0156223
9,0.0155240
10,0.0161135
11,0.0163100
12,0.0166048
13,0.0168996
14,0.0170961
15,0.0175873
16,0.0175873
17,0.0178821
18,0.0180786
19,0.0182751
20,0.0183734
21,0.0183734
22,0.0184716
23,0.0183734
24,0.0183734
25,0.0183734
26,0.0182751
27,0.0179803
28,0.0178821
29,0.0176856
30,0.0172926
31,0.0170961
32,0.0167031
33,0.0164083
34,0.0160153
35,0.0155240
36,0.0151310
37,0.0149345
38,0.0143450
39,0.0139520
40,0.0133624
41,0.0129694
42,0.0125764
43,0.0123799
44,0.0116921
45,0.0112991
46,0.0108079
47,0.0104148
48,0.0102183
49,0.0097271
50,0.0093341
51,0.0090393
52,0.0086463
53,0.0082533
54,0.0074672
55,0.0074672
56,0.0070742
57,0.0066812
58,0.0064847
59,0.0060917
60,0.0058952
61,0.0056987
62,0.0053057
63,0.0050109
64,0.0047162
65,0.0045197
66,0.0043231
67,0.0040284
68,0.0037336
69,0.0035371
70,0.0033406
71,0.0031441
72,0.0029476
73,0.0029476
74,0.0027511
75,0.0025546
76,0.0023581
77,0.0023581
78,0.0021616
79,0.0020633
80,0.0019651
81,0.0017686
82,0.0017686
83,0.0015721
84,0.0015721
