# Source: Munsky et al. (2012), Science 336:183-187, Fig. 2B.
# Extraction: source PDF page 2 rendered at 600 dpi (4950 x 6300 px).
# Axis calibration: x=0..200 mRNA copies; y=0..0.04 probability.
# Plot bounds (px): y_top=2422, y_bottom=2969; x=[2149,2874], [2979,3704], [3809,4534].
# The central dark-blue antialiasing color [59,76,167] was sampled at integer copy numbers.
# Values outside 0.001..0.039 and upper-axis-clipped points were omitted; line thickness is about 0.0007 probability.
class,mRNA_copy_number,probability
I,2,0.030383912
I,3,0.025667276
I,4,0.018866545
I,5,0.016489945
I,6,0.014186472
I,7,0.012943327
I,8,0.011590494
I,9,0.010530165
I,10,0.009872029
I,11,0.009140768
I,12,0.008702011
I,13,0.008190128
I,14,0.007787934
I,15,0.007458867
I,16,0.007129799
I,17,0.006800731
I,18,0.006617916
I,19,0.006325411
I,20,0.006106033
I,21,0.005959781
I,22,0.005740402
I,23,0.005630713
I,24,0.005411335
I,25,0.005265082
I,26,0.005155393
I,27,0.005009141
I,28,0.004899452
I,29,0.004789762
I,30,0.004643510
I,31,0.004570384
I,32,0.004424132
I,33,0.004351005
I,34,0.004277879
I,35,0.004204753
I,36,0.004131627
I,37,0.004058501
I,38,0.003985375
I,39,0.003948812
I,40,0.003875686
I,41,0.003839122
I,42,0.003802559
I,43,0.003765996
I,44,0.003729433
I,45,0.003692870
I,46,0.003656307
I,47,0.003619744
I,48,0.003583181
I,49,0.003583181
I,50,0.003546618
I,51,0.003546618
I,52,0.003510055
I,53,0.003510055
I,54,0.003510055
I,55,0.003510055
I,56,0.003510055
I,57,0.003510055
I,58,0.003510055
I,59,0.003510055
I,60,0.003510055
I,61,0.003546618
I,62,0.003546618
I,63,0.003546618
I,64,0.003583181
I,65,0.003619744
I,66,0.003619744
I,67,0.003656307
I,68,0.003692870
I,69,0.003729433
I,70,0.003765996
I,71,0.003802559
I,72,0.003839122
I,73,0.003912249
I,74,0.003948812
I,75,0.004021938
I,76,0.004058501
I,77,0.004131627
I,78,0.004204753
I,79,0.004277879
I,80,0.004351005
I,81,0.004424132
I,82,0.004497258
I,83,0.004570384
I,84,0.004643510
I,85,0.004716636
I,86,0.004789762
I,87,0.004826325
I,88,0.004862888
I,89,0.004862888
I,90,0.004862888
I,91,0.004862888
I,92,0.004826325
I,93,0.004753199
I,94,0.004643510
I,95,0.004570384
I,96,0.004424132
I,97,0.004241316
I,98,0.004095064
I,99,0.003912249
I,100,0.003692870
I,101,0.003546618
I,102,0.003254113
I,103,0.003107861
I,104,0.002851920
I,105,0.002595978
I,106,0.002449726
I,107,0.002157221
I,108,0.002010969
I,109,0.001791590
I,110,0.001572212
I,111,0.001425960
I,112,0.001243144
I,113,0.001096892
II,2,0.035173675
II,3,0.033820841
II,4,0.028884826
II,5,0.027020110
II,6,0.025191956
II,7,0.024058501
II,8,0.022778793
II,9,0.021681901
II,10,0.020950640
II,11,0.020073126
II,12,0.019451554
II,13,0.018720293
II,14,0.017989031
II,15,0.017513711
II,16,0.016892139
II,17,0.016343693
II,18,0.015941499
II,19,0.015393053
II,20,0.014917733
II,21,0.014552102
II,22,0.014113346
II,23,0.013784278
II,24,0.013418647
