Time,TotalRecExp,TotalRecComp,sd,RecType
0,100,100,,VEGFR2
5,,96.543,,VEGFR2
10,,93.101,,VEGFR2
15,,89.689,,VEGFR2
20,,86.317,,VEGFR2
25,,82.995,,VEGFR2
30,87,79.733,2,VEGFR2
35,,76.536,,VEGFR2
40,,73.412,,VEGFR2
45,,70.363,,VEGFR2
50,,67.396,,VEGFR2
55,,64.511,,VEGFR2
60,60,61.712,2,VEGFR2
65,,58.999,,VEGFR2
70,,56.375,,VEGFR2
75,,53.839,,VEGFR2
80,,51.39,,VEGFR2
85,,49.03,,VEGFR2
90,59,46.756,7,VEGFR2
95,,44.568,,VEGFR2
100,,42.465,,VEGFR2
105,,40.444,,VEGFR2
110,,38.505,,VEGFR2
115,,36.645,,VEGFR2
120,40,34.862,2,VEGFR2
125,,33.155,,VEGFR2
130,,31.522,,VEGFR2
135,,29.959,,VEGFR2
140,,28.465,,VEGFR2
145,,27.037,,VEGFR2
150,,25.674,,VEGFR2
155,,24.373,,VEGFR2
160,,23.132,,VEGFR2
165,,21.948,,VEGFR2
170,,20.82,,VEGFR2
175,,19.746,,VEGFR2
180,,18.722,,VEGFR2
185,,17.748,,VEGFR2
190,,16.82,,VEGFR2
195,,15.938,,VEGFR2
200,,15.099,,VEGFR2
205,,14.302,,VEGFR2
210,,13.544,,VEGFR2
215,,12.824,,VEGFR2
220,,12.14,,VEGFR2
225,,11.49,,VEGFR2
230,,10.874,,VEGFR2
235,,10.288,,VEGFR2
240,9,9.7333,7,VEGFR2
0,100,100,0,VEGFR1
5,,93.915,,VEGFR1
10,,88.184,,VEGFR1
15,,82.801,,VEGFR1
20,,77.748,,VEGFR1
25,,73.002,,VEGFR1
30,80,68.547,3,VEGFR1
35,,64.363,,VEGFR1
40,,60.435,,VEGFR1
45,,56.746,,VEGFR1
50,,53.283,,VEGFR1
55,,50.031,,VEGFR1
60,35,46.977,3,VEGFR1
65,,44.11,,VEGFR1
70,,41.418,,VEGFR1
75,,38.89,,VEGFR1
80,,36.516,,VEGFR1
85,,34.287,,VEGFR1
90,29,32.195,2,VEGFR1
95,,30.23,,VEGFR1
100,,28.385,,VEGFR1
105,,26.652,,VEGFR1
110,,25.026,,VEGFR1
115,,23.498,,VEGFR1
120,20,22.064,2,VEGFR1
125,,20.717,,VEGFR1
130,,19.453,,VEGFR1
135,,18.266,,VEGFR1
140,,17.151,,VEGFR1
145,,16.104,,VEGFR1
150,,15.121,,VEGFR1
155,,14.198,,VEGFR1
160,,13.332,,VEGFR1
165,,12.518,,VEGFR1
170,,11.754,,VEGFR1
175,,11.037,,VEGFR1
180,,10.363,,VEGFR1
185,,9.7304,,VEGFR1
190,,9.1366,,VEGFR1
195,,8.5789,,VEGFR1
200,,8.0553,,VEGFR1
205,,7.5637,,VEGFR1
210,,7.102,,VEGFR1
215,,6.6686,,VEGFR1
220,,6.2616,,VEGFR1
225,,5.8794,,VEGFR1
230,,5.5205,,VEGFR1
235,,5.1836,,VEGFR1
240,15,4.8672,1,VEGFR1
0,100,100,,NRP1
5,,99.869,,NRP1
10,,99.753,,NRP1
15,,99.645,,NRP1
20,,99.544,,NRP1
25,,99.45,,NRP1
30,95,99.361,15,NRP1
35,,99.279,,NRP1
40,,99.201,,NRP1
45,,99.128,,NRP1
50,,99.06,,NRP1
55,,98.997,,NRP1
60,111,98.937,18,NRP1
65,,98.881,,NRP1
70,,98.828,,NRP1
75,,98.779,,NRP1
80,,98.733,,NRP1
85,,98.69,,NRP1
90,104,98.649,19,NRP1
95,,98.611,,NRP1
100,,98.576,,NRP1
105,,98.542,,NRP1
110,,98.511,,NRP1
115,,98.481,,NRP1
120,105,98.454,7,NRP1
125,,98.428,,NRP1
130,,98.403,,NRP1
135,,98.381,,NRP1
140,,98.359,,NRP1
145,,98.339,,NRP1
150,,98.32,,NRP1
155,,98.303,,NRP1
160,,98.286,,NRP1
165,,98.27,,NRP1
170,,98.256,,NRP1
175,,98.242,,NRP1
180,,98.229,,NRP1
185,,98.217,,NRP1
190,,98.206,,NRP1
195,,98.195,,NRP1
200,,98.185,,NRP1
205,,98.175,,NRP1
210,,98.167,,NRP1
215,,98.158,,NRP1
220,,98.15,,NRP1
225,,98.143,,NRP1
230,,98.136,,NRP1
235,,98.13,,NRP1
240,101,98.124,10,NRP1
