Complex,Cargo_Type,R1rate,R2rate,N1rate
recycling from Rab4a to surface,enters surface,9.6161,0.0056662,8.7659
recycling from Rab4a to surface,leaves surface,0,0,0
recycling from Rab4a to surface,enters Rab4a/5a,0,0,0
recycling from Rab4a to surface,leaves Rab4a/5a,9.6161,0.0056662,8.7659
recycling from Rab4a to surface,enters Rab11a,0,0,0
recycling from Rab4a to surface,leaves Rab11a,0,0,0
recycling from Rab11a to surf,enters surface,10.583,0.0070947,26.532
recycling from Rab11a to surf,leaves surface,0,0,0
recycling from Rab11a to surf,enters Rab4a/5a,0,0,0
recycling from Rab11a to surf,leaves Rab4a/5a,0,0,0
recycling from Rab11a to surf,enters Rab11a,0,0,0
recycling from Rab11a to surf,leaves Rab11a,10.583,0.0070947,26.532
transfer from Rab4a to Rab11a,enters surface,0,0,0
transfer from Rab4a to Rab11a,leaves surface,0,0,0
transfer from Rab4a to Rab11a,enters Rab4a/5a,0,0,0
transfer from Rab4a to Rab11a,leaves Rab4a/5a,10.583,0.0070947,26.532
transfer from Rab4a to Rab11a,enters Rab11a,10.583,0.0070947,26.532
transfer from Rab4a to Rab11a,leaves Rab11a,0,0,0
transfer from Rab4a to Rab7a,enters surface,0,0,0
transfer from Rab4a to Rab7a,leaves surface,0,0,0
transfer from Rab4a to Rab7a,enters Rab4a/5a,0,0,0
transfer from Rab4a to Rab7a,leaves Rab4a/5a,4.1007,1.1142,0.45862
transfer from Rab4a to Rab7a,enters Rab11a,0,0,0
transfer from Rab4a to Rab7a,leaves Rab11a,0,0,0
production to surface,enters surface,4.1007,1.1142,0.4587
production to surface,leaves surface,0,0,0
production to surface,enters Rab4a/5a,0,0,0
production to surface,leaves Rab4a/5a,0,0,0
production to surface,enters Rab11a,0,0,0
production to surface,leaves Rab11a,0,0,0
internalization from surface to Rab4a,enters surface,0,0,0
internalization from surface to Rab4a,leaves surface,24.3,1.127,35.756
internalization from surface to Rab4a,enters Rab4a/5a,24.3,1.127,35.756
internalization from surface to Rab4a,leaves Rab4a/5a,0,0,0
internalization from surface to Rab4a,enters Rab11a,0,0,0
internalization from surface to Rab4a,leaves Rab11a,0,0,0
