condition,time,Obs_pSTAT3,Obs_pSTAT1
il6_1,0,0.0,0.0
il6_1,1,0.00071888,8.4e-06
il6_1,2,0.0027077,3.22e-05
il6_1,3,0.0057128,6.94e-05
il6_1,4,0.009489,0.00011772
il6_1,5,0.013811,0.00017513
il6_1,6,0.018476,0.00023963
il6_1,7,0.023313,0.00030935
il6_1,8,0.028177,0.00038258
il6_1,9,0.032949,0.00045771
il6_1,10,0.037537,0.00053328
il6_1,11,0.041871,0.00060798
il6_1,12,0.0459,0.00068061
il6_1,13,0.049589,0.00075008
il6_1,14,0.052916,0.00081541
il6_1,15,0.055871,0.00087574
il6_1,16,0.05845,0.00093031
il6_1,17,0.060657,0.00097844
il6_1,18,0.0625,0.0010196
il6_1,19,0.063987,0.0010532
il6_1,20,0.06513,0.001079
il6_1,21,0.065942,0.0010968
il6_1,22,0.066435,0.0011063
il6_1,23,0.06662,0.0011076
il6_1,24,0.066511,0.0011007
il6_1,25,0.066119,0.001086
il6_1,26,0.065459,0.0010639
il6_1,27,0.064548,0.0010349
il6_1,28,0.063403,0.00099979
il6_1,29,0.062048,0.00095943
il6_1,30,0.06051,0.00091483
il6_1,31,0.058823,0.0008671
il6_1,32,0.057022,0.00081739
il6_1,33,0.055145,0.00076683
il6_1,34,0.053227,0.00071644
il6_1,35,0.051303,0.0006671
il6_1,36,0.049397,0.00061948
il6_1,37,0.047529,0.00057407
il6_1,38,0.045714,0.00053117
il6_1,39,0.043959,0.00049097
il6_1,40,0.04227,0.00045352
il6_1,41,0.040649,0.00041883
il6_1,42,0.039098,0.00038685
il6_1,43,0.037616,0.00035746
il6_1,44,0.036203,0.00033057
il6_1,45,0.034858,0.00030604
il6_1,46,0.033579,0.00028373
il6_1,47,0.032363,0.0002635
il6_1,48,0.03121,0.0002452
il6_1,49,0.030117,0.00022869
il6_1,50,0.029081,0.00021383
il6_1,51,0.0281,0.00020049
il6_1,52,0.027173,0.00018855
il6_1,53,0.026295,0.00017787
il6_1,54,0.025466,0.00016836
il6_1,55,0.024683,0.00015989
il6_1,56,0.023943,0.00015237
il6_1,57,0.023244,0.00014571
il6_1,58,0.022584,0.00013982
il6_1,59,0.021961,0.00013463
il6_1,60,0.021371,0.00013005
il6_1,61,0.020814,0.00012602
il6_1,62,0.020287,0.00012247
il6_1,63,0.019789,0.00011936
il6_1,64,0.019316,0.00011662
il6_1,65,0.018868,0.00011422
il6_1,66,0.018443,0.0001121
il6_1,67,0.018039,0.00011024
il6_1,68,0.017654,0.00010859
il6_1,69,0.017288,0.00010712
il6_1,70,0.016939,0.00010581
il6_1,71,0.016605,0.00010463
il6_1,72,0.016285,0.00010355
il6_1,73,0.015978,0.00010257
il6_1,74,0.015684,0.00010166
il6_1,75,0.0154,0.0001008
il6_1,76,0.015127,0.0001
il6_1,77,0.014864,9.92e-05
il6_1,78,0.014609,9.85e-05
il6_1,79,0.014362,9.77e-05
il6_1,80,0.014123,9.7e-05
il6_1,81,0.01389,9.62e-05
il6_1,82,0.013664,9.55e-05
il6_1,83,0.013444,9.48e-05
il6_1,84,0.013229,9.4e-05
il6_1,85,0.013019,9.33e-05
il6_1,86,0.012813,9.25e-05
il6_1,87,0.012613,9.17e-05
il6_1,88,0.012416,9.09e-05
il6_1,89,0.012223,9.01e-05
il6_1,90,0.012034,8.93e-05
il6_10,0,0.0,0.0
il6_10,1,0.0066755,8.02e-05
il6_10,2,0.022505,0.00029316
il6_10,3,0.041549,0.000602
il6_10,4,0.059688,0.00097592
il6_10,5,0.074858,0.0013898
il6_10,6,0.086499,0.0018232
il6_10,7,0.094895,0.0022594
il6_10,8,0.10068,0.0026852
il6_10,9,0.10452,0.0030899
il6_10,10,0.10701,0.0034658
il6_10,11,0.10858,0.0038071
il6_10,12,0.10953,0.0041105
il6_10,13,0.11007,0.0043738
il6_10,14,0.11033,0.0045964
il6_10,15,0.1104,0.0047787
il6_10,16,0.11032,0.0049218
il6_10,17,0.11012,0.0050275
il6_10,18,0.10981,0.0050977
il6_10,19,0.10942,0.0051346
il6_10,20,0.10893,0.0051405
il6_10,21,0.10834,0.0051177
il6_10,22,0.10766,0.0050686
il6_10,23,0.10687,0.0049955
il6_10,24,0.10598,0.0049006
il6_10,25,0.10496,0.004786
il6_10,26,0.10382,0.0046539
il6_10,27,0.10254,0.0045064
il6_10,28,0.10112,0.0043458
il6_10,29,0.099545,0.004174
il6_10,30,0.097817,0.0039932
il6_10,31,0.095932,0.0038057
il6_10,32,0.093892,0.0036134
il6_10,33,0.091701,0.0034185
il6_10,34,0.089372,0.0032231
il6_10,35,0.086917,0.003029
il6_10,36,0.084357,0.0028382
il6_10,37,0.081715,0.0026521
il6_10,38,0.079014,0.0024723
il6_10,39,0.076281,0.0022999
il6_10,40,0.073539,0.0021357
il6_10,41,0.070813,0.0019806
il6_10,42,0.068121,0.0018348
il6_10,43,0.065481,0.0016986
il6_10,44,0.062906,0.001572
il6_10,45,0.060405,0.0014548
il6_10,46,0.057986,0.001347
il6_10,47,0.055652,0.001248
il6_10,48,0.053407,0.0011574
il6_10,49,0.051251,0.0010749
il6_10,50,0.049183,0.00099994
il6_10,51,0.047202,0.00093202
il6_10,52,0.045307,0.00087064
il6_10,53,0.043493,0.00081532
il6_10,54,0.04176,0.00076559
il6_10,55,0.040103,0.00072099
il6_10,56,0.038519,0.00068108
il6_10,57,0.037006,0.00064545
il6_10,58,0.03556,0.00061371
il6_10,59,0.034178,0.00058548
il6_10,60,0.032856,0.00056044
il6_10,61,0.031593,0.00053825
il6_10,62,0.030384,0.00051864
il6_10,63,0.029228,0.00050132
il6_10,64,0.028121,0.00048606
il6_10,65,0.027061,0.00047261
il6_10,66,0.026046,0.00046078
il6_10,67,0.025073,0.00045038
il6_10,68,0.024141,0.00044124
il6_10,69,0.023246,0.0004332
il6_10,70,0.022388,0.00042612
il6_10,71,0.021565,0.00041988
il6_10,72,0.020774,0.00041436
il6_10,73,0.020014,0.00040948
il6_10,74,0.019285,0.00040513
il6_10,75,0.018583,0.00040125
il6_10,76,0.017908,0.00039775
il6_10,77,0.01726,0.00039459
il6_10,78,0.016635,0.0003917
il6_10,79,0.016034,0.00038904
il6_10,80,0.015456,0.00038657
il6_10,81,0.014899,0.00038426
il6_10,82,0.014362,0.00038207
il6_10,83,0.013845,0.00037998
il6_10,84,0.013347,0.00037797
il6_10,85,0.012867,0.00037601
il6_10,86,0.012405,0.0003741
il6_10,87,0.011959,0.00037221
il6_10,88,0.011529,0.00037035
il6_10,89,0.011114,0.0003685
il6_10,90,0.010714,0.00036665
il10_1,0,0.0,0.0
il10_1,1,0.00053932,2.91e-06
il10_1,2,0.002043,1.12e-05
il10_1,3,0.0043369,2.42e-05
il10_1,4,0.0072531,4.12e-05
il10_1,5,0.010636,6.16e-05
il10_1,6,0.014346,8.48e-05
il10_1,7,0.018262,0.00011003
il10_1,8,0.022279,0.00013691
il10_1,9,0.026311,0.00016492
il10_1,10,0.030288,0.00019364
il10_1,11,0.034155,0.00022267
il10_1,12,0.03787,0.0002517
il10_1,13,0.041402,0.00028042
il10_1,14,0.044729,0.00030861
il10_1,15,0.04784,0.00033604
il10_1,16,0.050727,0.00036253
il10_1,17,0.053388,0.00038795
il10_1,18,0.055826,0.00041217
il10_1,19,0.058046,0.00043509
il10_1,20,0.060058,0.00045664
il10_1,21,0.061869,0.00047676
il10_1,22,0.063491,0.00049542
il10_1,23,0.064934,0.00051259
il10_1,24,0.06621,0.00052825
il10_1,25,0.06733,0.00054241
il10_1,26,0.068306,0.00055508
il10_1,27,0.069147,0.00056628
il10_1,28,0.069863,0.00057604
il10_1,29,0.070465,0.0005844
il10_1,30,0.070962,0.00059139
il10_1,31,0.071361,0.00059708
il10_1,32,0.071671,0.00060149
il10_1,33,0.071899,0.00060471
il10_1,34,0.072052,0.00060678
il10_1,35,0.072136,0.00060776
il10_1,36,0.072156,0.00060772
il10_1,37,0.072119,0.00060673
il10_1,38,0.072029,0.00060484
