condition,time,pSTAT1_mean,pSTAT1_fit_SD,pSTAT3_mean,pSTAT3_fit_SD,n_pSTAT1,n_pSTAT3
il6_1,0,0,0.02,0,0.02,5,9
il6_1,10,0.1091288978,0.02,0.3168529175,0.04752793762,5,9
il6_1,20,0.1793600404,0.02690400606,0.6055971188,0.09083956782,5,9
il6_1,30,0.185681169,0.02785217535,0.5539430792,0.08309146188,5,9
il6_1,45,0.06867983212,0.02,0.3712806944,0.05569210415,5,9
il6_1,60,0.02067240415,0.02,0.2361697871,0.03542546806,5,9
il6_1,90,0.04263575006,0.02,0.1707948026,0.02561922038,5,9
il6_10,0,0,0.02,0,0.02,5,9
il6_10,10,0.5513290302,0.08269935453,0.7999598415,0.1199939762,5,9
il6_10,20,1,0.15,1,0.15,5,9
il6_10,30,0.7822214678,0.1173332202,0.7963993245,0.1194598987,5,9
il6_10,45,0.2532319369,0.03798479053,0.4959990234,0.0743998535,5,9
il6_10,60,0.1862689383,0.02794034075,0.2563162359,0.03844743538,5,9
il6_10,90,0.05447291896,0.02,0.1973315396,0.02959973094,5,9
il10_1,0,0,0.02,0,0.02,5,9
il10_1,10,0.08168559255,0.02,0.3355962708,0.05033944062,5,9
il10_1,20,0.09695744238,0.02,0.5733344313,0.0860001647,5,9
il10_1,30,0.08826344381,0.02,0.596752099,0.08951281485,5,9
il10_1,45,0.1397655714,0.0209648357,0.5934124934,0.08901187402,5,9
il10_1,60,0.1023412059,0.02,0.5721327514,0.08581991271,5,9
il10_1,90,0.08356682795,0.02,0.4930050589,0.07395075883,5,9
il10_10,0,0,0.02,0,0.02,5,9
il10_10,10,0.201821157,0.03027317354,0.8972292312,0.1345843847,5,9
il10_10,20,0.4340319816,0.06510479725,1.052451612,0.1578677419,5,9
il10_10,30,0.406198278,0.06092974171,0.9400032817,0.1410004923,5,9
il10_10,45,0.1731131478,0.02596697218,0.7351401579,0.1102710237,5,9
il10_10,60,0.09326722066,0.02,0.5304449972,0.07956674958,5,9
il10_10,90,0.0391656466,0.02,0.432447859,0.06486717886,5,9
il6_1_il10_1,0,0,0.02,0,0.02,4,6
il6_1_il10_1,10,0.1701715834,0.0255257375,0.4493575347,0.06740363021,4,6
il6_1_il10_1,20,0.306690416,0.0460035624,0.7847737273,0.1177160591,4,6
il6_1_il10_1,30,0.2745522432,0.04118283647,0.751644189,0.1127466284,4,6
il6_1_il10_1,45,0.05422177726,0.02,0.5285303641,0.07927955461,4,6
il6_1_il10_1,60,0.04394076923,0.02,0.4667921537,0.07001882305,4,6
il6_1_il10_1,90,0.02795793152,0.02,0.4380443075,0.06570664612,4,6
il6_10_il10_10,0,0,0.02,0,0.02,5,6
il6_10_il10_10,10,0.8277447775,0.1241617166,0.9406344679,0.1410951702,5,6
il6_10_il10_10,20,1.511236185,0.2266854277,1.018027868,0.1527041802,5,6
il6_10_il10_10,30,0.9287755361,0.1393163304,0.9159953308,0.1373992996,5,6
il6_10_il10_10,45,0.3809908451,0.05714862677,0.6848804904,0.1027320736,5,6
il6_10_il10_10,60,0.1696112924,0.02544169385,0.5572507691,0.08358761537,5,6
il6_10_il10_10,90,0.1448464355,0.02172696533,0.5135559383,0.07703339074,5,6
