observableId	experimentId	time	measurement	noiseParameters
func_pre2_time		0	1.6131558314	0.2004231309
func_pre2_time		30	0.9593315136	0.2615617574
func_pre2_time		60	0.8707928038	0.163062846
func_pre2_time		180	0.7039313897	0.1019185391
func_pre2_time		300	0.9865741934	0.1189030688
func_pre2_time		600	0.867387469	0.1936236386
func_pre4_time		0	0.0015707048	0.0597428571
func_pre4_time		30	0.8850918303	0.0667714286
func_pre4_time		60	1.11127324	0.0632571429
func_pre4_time		120	1.2208298593	0.0702857143
func_pre4_time		180	1.1395459159	0.0667714286
func_pre4_time		300	1.3268523945	0.0562285714
func_pre4_time		420	1.2102276055	0.0632571429
func_pre4_time		600	1.1077391545	0.0667714286
func_pre1_dose	doseresponse_0	600	1.458475188	0.1607725361
func_pre1_dose	doseresponse_2	600	1.25073985	0.1435540497
func_pre1_dose	doseresponse_3	600	0.867006516	0.09760798
func_pre1_dose	doseresponse_4	600	0.693893734	0.0803894937
func_pre1_dose	doseresponse_5	600	0.731401504	0.0861246883
func_pre3_dose	doseresponse_0	600	0.003982258	0.1348354268
func_pre3_dose	doseresponse_2	600	0.196028707	0.1348448243
func_pre3_dose	doseresponse_3	600	1.339255747	0.1110409398
func_pre3_dose	doseresponse_4	600	1.731277712	0.1348448243
func_pre3_dose	doseresponse_5	600	1.730285101	0.130869679
