observableId	experimentId	time	measurement	noiseParameters
func_pY1068_percent		60	9.35	0.67
func_pY1068_percent		120	9.47	0.69
func_pY1068_percent		300	12.07	0.85
func_pY1173_percent		60	17.96	0.79
func_pY1173_percent		120	19.15	0.88
func_pY1173_percent		300	21.38	1.02
func_phosR_per		60	41.92	0.2
func_phosR_per		120	42.64	0.26
func_phosR_per		300	50.59	0.34
func_pY1068_percent	dose_resp_0	300	3.3	0.29
func_pY1068_percent	dose_resp_1	300	12.42	0.66
func_pY1068_percent	dose_resp_2	300	19.62	0.98
func_pY1173_percent	dose_resp_0	300	4.19	0.31
func_pY1173_percent	dose_resp_1	300	17.68	0.66
func_pY1173_percent	dose_resp_2	300	23.5	0.8
func_phosR_per	dose_resp_0	300	6.29	0.61
func_phosR_per	dose_resp_1	300	26.09	0.97
func_phosR_per	dose_resp_2	300	40.83	1.3
