# Fig. S5A: measured % phosphorylation, wild-type CD3z, 10% POPS (biological replicate 2)
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A1_SD,A2,A2_SD,B1,B1_SD,B2,B2_SD,C1,C1_SD,C2,C2_SD
0.0999593,2.80538,2.84021,1.30686,1.37218,1.62921,0.557585,2.48301,2.28698,0.522727,0.296219,0.784127,0.622924
1.00354,15.6212,1.79473,1.23716,1.07598,2.87506,2.32184,9.40931,11.4044,7.51876,1.44189,3.19741,0.326717
5.00527,39.4058,4.21675,2.35233,1.04548,9.21764,7.58407,23.0005,9.15229,6.98727,6.37305,6.59522,1.57258
10.0068,48.0397,1.6989,5.61945,1.30686,15.5515,3.2976,26.8601,4.25161,11.1082,5.85033,9.53999,4.18191
30.0707,75.5532,0.87996,17.7121,2.74437,37.5152,8.43352,63.0075,5.10107,18.6879,6.40791,10.8468,13.1077
60.1188,89.7368,1.04547,30.9113,8.43352,60.0627,7.9108,79.2821,4.83967,38.2297,4.14705,34.8318,3.33245
179.924,97.3165,0.100191,69.6027,2.80973,85.6856,3.72452,91.1047,2.61369,70.1951,2.1563,70.3258,4.80484
